city,country,admin_name
Cesa,Italy,Campania
Patchogue,United States,New York
Oak Hills,United States,Oregon
Allington,United Kingdom,Kent
Igny,France,Île-de-France
Cuapiaxtla de Madero,Mexico,Puebla
Heybridge,United Kingdom,Essex
Qufādah,Egypt,Al Minyā
Tlalixtac de Cabrera,Mexico,Oaxaca
Neuville-lès-Dieppe,France,Normandie
Qalāt,Afghanistan,Zābul
Batken,Kyrgyzstan,Batken
Ayapango,Mexico,México
Sallaumines,France,Hauts-de-France
North Merrick,United States,New York
Eybens,France,Auvergne-Rhône-Alpes
Home Gardens,United States,California
Făleşti,Moldova,Făleşti
Salisbury,United States,New York
Xicoténcatl,Mexico,Tamaulipas
Assomada,Cabo Verde,Santa Catarina
Druskininkai,Lithuania,Druskininkai
Tottington,United Kingdom,Bury
Izola,Slovenia,Izola
Floreşti,Moldova,Floreşti
Emeryville,United States,California
Cimişlia,Moldova,Cimişlia
Choix,Mexico,Sinaloa
Dinnington,United Kingdom,Rotherham
Tzucacab,Mexico,Yucatán
Anáhuac,Mexico,Chihuahua
Portico di Caserta,Italy,Campania
Barwell,United Kingdom,Leicestershire
Khunays,Tunisia,Monastir
San Gregorio Atzompa,Mexico,Puebla
Tekit,Mexico,Yucatán
Mpigi,Uganda,Mpigi
Greenhill,United Kingdom,Kent
Robertsport,Liberia,Grand Cape Mount
Dundo,Angola,Lunda Norte
Massagno,Switzerland,Ticino
Hasbrouck Heights,United States,New Jersey
Larbert,United Kingdom,Falkirk
Bougival,France,Île-de-France
Clayton le Moors,United Kingdom,Lancashire
Dowlais,United Kingdom,Merthyr Tydfil
Red Bank,United States,New Jersey
Ferney-Voltaire,France,Auvergne-Rhône-Alpes
Saint Peters,United Kingdom,Kent
Amatlán de los Reyes,Mexico,Veracruz
Rabat,Malta,Rabat
Lydney,United Kingdom,Gloucestershire
South Miami,United States,Florida
Llantwit Major,United Kingdom,"Vale of Glamorgan, The"
Widnau,Switzerland,Sankt Gallen
Rosario,Uruguay,Colonia
Gedling,United Kingdom,Nottinghamshire
Đà Nẵng,Vietnam,Đà Nẵng
San José el Viejo,Mexico,Baja California Sur
Bures-sur-Yvette,France,Île-de-France
Żurrieq,Malta,Żurrieq
Clawson,United States,Michigan
Berane,Montenegro,Berane
Launceston,United Kingdom,Cornwall
Newman,United States,California
Naranja,United States,Florida
Birtley,United Kingdom,Gateshead
Tiptree,United Kingdom,Essex
Ndélé,Central African Republic,Bamingui-Bangoran
Woodbridge,United Kingdom,Suffolk
View Park-Windsor Hills,United States,California
Fort Liberté,Haiti,Nord-Est
Škofja Loka,Slovenia,Škofja Loka
Boxley,United Kingdom,Kent
North Wantagh,United States,New York
Bol,Chad,Lac
Epalinges,Switzerland,Vaud
Kilchberg,Switzerland,Zürich
Coahuitlán,Mexico,Veracruz
Sidney,Canada,British Columbia
Bothell East,United States,Washington
Bihorel,France,Normandie
Elektrėnai,Lithuania,Elektrénai
Le Plessis-Bouchard,France,Île-de-France
Higuera de Zaragoza,Mexico,Sinaloa
Thornhill,United Kingdom,Kirklees
Alotau,Papua New Guinea,Milne Bay
Brandon,United Kingdom,Suffolk
Rafael Lucio,Mexico,Veracruz
Mountain Ash,United Kingdom,Rhondda Cynon Taff
Shanhūr,Egypt,Qinā
Casapulla,Italy,Campania
Alum Rock,United States,California
Beauchamp,France,Île-de-France
Delčevo,Macedonia,Delčevo
Le Portel,France,Hauts-de-France
Saron,South Africa,Western Cape
La Junta,Mexico,Chihuahua
Westwood Lakes,United States,Florida
Cuauhtémoc,Mexico,Colima
Yeadon,United States,Pennsylvania
Wallington,United States,New Jersey
Sanniquellie,Liberia,Nimba
Cam,United Kingdom,Gloucestershire
Vaucresson,France,Île-de-France
Waipio,United States,Hawaii
Qax,Azerbaijan,Qax
Groslay,France,Île-de-France
Maili,United States,Hawaii
Sandiacre,United Kingdom,Nottinghamshire
River Edge,United States,New Jersey
Yuscarán,Honduras,El Paraíso
Halachó,Mexico,Yucatán
Signal Hill,United States,California
Ḩadībū,Yemen,Arkhabīl Suquţrá
Weißenthurm,Germany,Rhineland-Palatinate
Leven,United Kingdom,Fife
Concordia,Mexico,Sinaloa
Bonhill,United Kingdom,West Dunbartonshire
Nidau,Switzerland,Bern
Leavesden Green,United Kingdom,Hertfordshire
Kirkwall,United Kingdom,Orkney Islands
Sant’Agnello,Italy,Campania
Glastonbury,United Kingdom,Somerset
Mahadipur,India,West Bengal
Dunbar,United Kingdom,East Lothian
Narborough,United Kingdom,Leicestershire
Bolton upon Dearne,United Kingdom,Barnsley
Zacapoaxtla,Mexico,Puebla
Torre Boldone,Italy,Lombardy
Ambilly,France,Auvergne-Rhône-Alpes
Cullercoats,United Kingdom,North Tyneside
Yarm,United Kingdom,Stockton-on-Tees
Évian-les-Bains,France,Auvergne-Rhône-Alpes
Vanimo,Papua New Guinea,West Sepik
Heer,Netherlands,Limburg
Stopsley,United Kingdom,Luton
Rye,United Kingdom,East Sussex
Pérenchies,France,Hauts-de-France
Reinosa,Spain,Cantabria
Billy-Montigny,France,Hauts-de-France
Lekeitio,Spain,Basque Country
Magas,Russia,Ingushetiya
Westgate on Sea,United Kingdom,Kent
Piedmont,United States,California
Great Burstead,United Kingdom,Essex
Rossmoor,United States,California
Guttenberg,United States,New Jersey
Dobroeşti,Romania,Ilfov
Summit,United States,Illinois
Rezina,Moldova,Rezina
Loikaw,Myanmar,Kayah State
Newbold,United Kingdom,Derbyshire
Ablon-sur-Seine,France,Île-de-France
Orange Cove,United States,California
San Juan Ixcaquixtla,Mexico,Puebla
Montmeló,Spain,Catalonia
Sundon,United Kingdom,Luton
Tataltepec de Valdés,Mexico,Oaxaca
Woodchurch,United Kingdom,Wirral
Coamo,Puerto Rico,Puerto Rico
Biltine,Chad,Wadi Fira
Tepeojuma,Mexico,Puebla
Suffern,United States,New York
Anenii Noi,Moldova,Anenii Noi
Gournay-sur-Marne,France,Île-de-France
Rothwell,United Kingdom,Northamptonshire
Karuzi,Burundi,Karuzi
Bedwas,United Kingdom,Caerphilly
Stonehouse,United Kingdom,Gloucestershire
Bramley,United Kingdom,Rotherham
Cocorit,Mexico,Sonora
Cross Gates,United Kingdom,Leeds
Călăraşi,Moldova,Călăraşi
Meythet,France,Auvergne-Rhône-Alpes
Vinica,Macedonia,Vinica
Aucamville,France,Occitanie
Ain Lehjer,Morocco,Oriental
Pyle,United Kingdom,Bridgend
Probištip,Macedonia,Probištip
Ahumada,Mexico,Chihuahua
La Riviera,United States,California
Stainforth,United Kingdom,Doncaster
Beni Bou Yafroun,Morocco,Oriental
Bucksburn,United Kingdom,Aberdeen City
West Auckland,United Kingdom,Durham
Marlborough,United Kingdom,Wiltshire
Birżebbuġa,Malta,Birżebbuġa
Little Ferry,United States,New Jersey
Gowerton,United Kingdom,Swansea
Daşkəsən,Azerbaijan,Daşkəsən
Shifnal,United Kingdom,Shropshire
Graçanicë,Kosovo,Graçanicë
Bela Crkva,Serbia,Bela Crkva
Darby,United States,Pennsylvania
Oban,United Kingdom,Argyll and Bute
Kavaratti,India,Lakshadweep
Northbrook,United States,Ohio
El Higo,Mexico,Veracruz
Jõhvi,Estonia,Ida-Virumaa
Latchford,United Kingdom,Warrington
Lansdowne,United States,Pennsylvania
Harworth,United Kingdom,Nottinghamshire
North Lindenhurst,United States,New York
Guadalupe Yancuictlalpan,Mexico,Morelos
Al Maḩwīt,Yemen,Al Maḩwīt
Sainte-Adresse,France,Normandie
Ada,Serbia,Ada
Greenville,Liberia,Sinoe
Kantunilkín,Mexico,Quintana Roo
Molochnoye,Russia,Vologodskaya Oblast’
Monifieth,United Kingdom,Angus
Ayotoxco de Guerrero,Mexico,Puebla
Kirundo,Burundi,Kirundo
Lincoln Village,United States,Ohio
Haapsalu,Estonia,Läänemaa
Gorleston-on-Sea,United Kingdom,Norfolk
Penryn,United Kingdom,Cornwall
Mellieħa,Malta,Mellieħa
Trat,Thailand,Trat
Richmond Heights,United States,Florida
Sarnen,Switzerland,Obwalden
Rocafort,Spain,Valencia
Ondárroa,Spain,Basque Country
Phangnga,Thailand,Phangnga
Jacinto City,United States,Texas
Boussy-Saint-Antoine,France,Île-de-France
Church,United Kingdom,Lancashire
Anstey,United Kingdom,Leicestershire
Siparia,Trinidad And Tobago,Siparia
Ordubad,Azerbaijan,Ordubad
Lascano,Uruguay,Rocha
Wickersley,United Kingdom,Rotherham
Olaine,Latvia,Olaines Novads
Oulad Ben Sebbah,Morocco,Casablanca-Settat
Cromer,United Kingdom,Norfolk
East Whittier,United States,California
Butha-Buthe,Lesotho,Butha-Buthe
Mariglianella,Italy,Campania
Naftalan,Azerbaijan,Naftalan
Altdorf,Switzerland,Uri
Wistaston,United Kingdom,Cheshire East
Carbon-Blanc,France,Nouvelle-Aquitaine
Boulder Hill,United States,Illinois
La Verrière,France,Île-de-France
Cramond,United Kingdom,"Edinburgh, City of"
Roatán,Honduras,Islas de la Bahía
Lake Stickney,United States,Washington
Great Neck,United States,New York
Almácera,Spain,Valencia
West Haverstraw,United States,New York
Bound Brook,United States,New Jersey
Birao,Central African Republic,Vakaga
Kirkham,United Kingdom,Lancashire
La Ville-du-Bois,France,Île-de-France
Biržai,Lithuania,Biržai
Puebla de Farnals,Spain,Valencia
Buctzotz,Mexico,Yucatán
Radlett,United Kingdom,Hertfordshire
Citrus,United States,California
Nisporeni,Moldova,Nisporeni
Kuldīga,Latvia,Kuldīgas Novads
Fontaines-sur-Saône,France,Auvergne-Rhône-Alpes
Vrnjačka Banja,Serbia,Vrnjačka Banja
Recale,Italy,Campania
Godmanchester,United Kingdom,Cambridgeshire
Clowne,United Kingdom,Derbyshire
Mojkovac,Montenegro,Mojkovac
Villemoisson-sur-Orge,France,Île-de-France
Ħamrun,Malta,Ħamrun
Muyinga,Burundi,Muyinga
Warrenpoint,United Kingdom,"Newry, Mourne and Down"
Coppull,United Kingdom,Lancashire
Crieff,United Kingdom,Perth and Kinross
San Francisco del Mar,Mexico,Oaxaca
Tarīn Kōṯ,Afghanistan,Uruzgān
Laghdir,Morocco,Tanger-Tétouan-Al Hoceïma
Charter Oak,United States,California
Bahía Kino,Mexico,Sonora
Hucknall under Huthwaite,United Kingdom,Nottinghamshire
Altar,Mexico,Sonora
Capitola,United States,California
Castillos,Uruguay,Rocha
Kanjiža,Serbia,Kanjiža
Del Aire,United States,California
Tamazulapam Villa del Progreso,Mexico,Oaxaca
Rovellasca,Italy,Lombardy
Country Club,United States,California
Frampton Cotterell,United Kingdom,South Gloucestershire
La Mulatière,France,Auvergne-Rhône-Alpes
Timberlane,United States,Louisiana
Montlhéry,France,Île-de-France
Whetstone,United Kingdom,Leicestershire
Thrapston,United Kingdom,Northamptonshire
Watervliet,United States,New York
Inwood,United States,New York
White City,United States,Oregon
Bauska,Latvia,Bauskas Novads
Celestún,Mexico,Yucatán
Huiloapan,Mexico,Veracruz
Marina del Rey,United States,California
Hopelchén,Mexico,Campeche
Stonegate,United States,Colorado
Duntocher,United Kingdom,West Dunbartonshire
West Perrine,United States,Florida
Aintree,United Kingdom,Liverpool
Talange,France,Grand Est
East Rockaway,United States,New York
New Hyde Park,United States,New York
Nueva Ocotepeque,Honduras,Ocotepeque
Brookdale,United States,New Jersey
Westgate,United States,Florida
Cimitile,Italy,Campania
Huningue,France,Grand Est
Partington,United Kingdom,Trafford
Jurbarkas,Lithuania,Jurbarkas
Novobërdë,Kosovo,Novobërdë
Pájaros,Puerto Rico,Puerto Rico
Makamba,Burundi,Makamba
West Athens,United States,California
Saldus,Latvia,Saldus Novads
Oudorp,Netherlands,Noord-Holland
Highbridge,United Kingdom,Somerset
Pembroke,United Kingdom,Pembrokeshire
Senglea,Malta,Isla
Tshabong,Botswana,Kgalagadi
Thames Ditton,United Kingdom,Surrey
Brechin,United Kingdom,Angus
Djambala,Congo (Brazzaville),Plateaux
Oberengstringen,Switzerland,Zürich
Pietà,Malta,Pietà
Postojna,Slovenia,Postojna
Aiea,United States,Hawaii
Keansburg,United States,New Jersey
Llantwit Fardre,United Kingdom,Rhondda Cynon Taff
Maywood,United States,New Jersey
Barrowford,United Kingdom,Lancashire
Pedra Badejo,Cabo Verde,Santa Cruz
Littleborough,United Kingdom,Rochdale
Sherburn in Elmet,United Kingdom,North Yorkshire
Kundiawa,Papua New Guinea,Chimbu
Dinas Powys,United Kingdom,"Vale of Glamorgan, The"
Ikeja,Nigeria,Lagos
Barlassina,Italy,Lombardy
Withernsea,United Kingdom,East Riding of Yorkshire
Wadsley,United Kingdom,Sheffield
Wardle,United Kingdom,Rochdale
Dancu,Romania,Iaşi
Teaoraereke,Kiribati,
Bois-des-Filion,Canada,Quebec
Vilkaviškis,Lithuania,Vilkaviškis
Sathonay-Camp,France,Auvergne-Rhône-Alpes
Ojo Caliente,Mexico,Aguascalientes
Govan,United Kingdom,Glasgow City
Rožaje,Montenegro,Rožaje
Roda del Ter,Spain,Catalonia
Carnate,Italy,Lombardy
Hani i Elezit,Kosovo,Hani i Elezit
Bladensburg,United States,Maryland
Thyolo,Malawi,Thyolo
Vrhnika,Slovenia,Vrhnika
Temascal,Mexico,Oaxaca
Kirriemuir,United Kingdom,Angus
Porth,United Kingdom,Rhondda Cynon Taff
Tettenhall,United Kingdom,Wolverhampton
Le Port-Marly,France,Île-de-France
Harlescott,United Kingdom,Shropshire
Rîşcani,Moldova,Rîşcani
Long Ditton,United Kingdom,Surrey
Sawston,United Kingdom,Cambridgeshire
Twyford,United Kingdom,Wokingham
Wood-Ridge,United States,New Jersey
Isola delle Femmine,Italy,Sicilia
Ashbourne,United Kingdom,Derbyshire
Las Tablas,Panama,Los Santos
Brentwood,United States,Pennsylvania
Cockenzie,United Kingdom,East Lothian
Kasane,Botswana,Chobe
Katakwi,Uganda,Katakwi
Locharbriggs,United Kingdom,Dumfries and Galloway
Neulußheim,Germany,Baden-Württemberg
Alcester,United Kingdom,Warwickshire
Kasakh,Armenia,Yerevan
Evinayong,Equatorial Guinea,Centro Sur
Žabalj,Serbia,Žabalj
Woodlyn,United States,Pennsylvania
South Amboy,United States,New Jersey
Sabana Grande,Puerto Rico,Puerto Rico
Dursley,United Kingdom,Gloucestershire
Stepps,United Kingdom,North Lanarkshire
Lunca Cetăţuii,Romania,Iaşi
Lerwick,United Kingdom,Shetland Islands
Gorle,Italy,Lombardy
Sauce,Uruguay,Canelones
Grosuplje,Slovenia,Grosuplje
Stans,Switzerland,Nidwalden
Saltburn-by-the-Sea,United Kingdom,Redcar and Cleveland
Billinge,United Kingdom,St. Helens
San Pedro Amuzgos,Mexico,Oaxaca
Dangriga,Belize,Stann Creek
Bennebroek,Netherlands,Noord-Holland
Beuvrages,France,Hauts-de-France
Guingamp,France,Bretagne
Broughton,United Kingdom,North Lincolnshire
Ewo,Congo (Brazzaville),Cuvette-Ouest
Filey,United Kingdom,North Yorkshire
Manatuto,Timor-Leste,Manatuto
Odžaci,Serbia,Odžaci
Leisure World,United States,Maryland
Cove,United Kingdom,Hampshire
North Kensington,United States,Maryland
Leonia,United States,New Jersey
Gizo,Solomon Islands,Western
Stansted Mountfitchet,United Kingdom,Essex
Farmingdale,United States,New York
Grenay,France,Hauts-de-France
Plainedge,United States,New York
Stony Brook University,United States,New York
Bottmingen,Switzerland,Basel-Landschaft
Lexden,United Kingdom,Essex
Sremski Karlovci,Serbia,Sremski Karlovci
Folsom,United States,Pennsylvania
Temozon,Mexico,Yucatán
Gleno,Timor-Leste,Ermera
Sauchie,United Kingdom,Clackmannanshire
Budleigh Salterton,United Kingdom,Devon
Long Ashton,United Kingdom,North Somerset
Mokhotlong,Lesotho,Mokhotlong
Talsi,Latvia,Talsu Novads
Cheddar,United Kingdom,Somerset
Pontardawe,United Kingdom,Neath Port Talbot
Dayr al Jarnūs,Egypt,Al Minyā
Corozal,Belize,Corozal
Dore,United Kingdom,Sheffield
North Petherton,United Kingdom,Somerset
Egham,United Kingdom,Surrey
Collingdale,United States,Pennsylvania
Siġġiewi,Malta,Siġġiewi
Pontardulais,United Kingdom,Swansea
Joniškis,Lithuania,Joniškis
Eichwalde,Germany,Brandenburg
Frimley,United Kingdom,Surrey
Leona Vicario,Mexico,Quintana Roo
West Miami,United States,Florida
New Square,United States,New York
Dobele,Latvia,Dobeles Novads
Basco,Philippines,Batanes
Sidi Bou Saïd,Tunisia,Tunis
Glodeni,Moldova,Glodeni
Karnaukhivka,Ukraine,Dnipropetrovs’ka Oblast’
Seven Corners,United States,Virginia
Kočevje,Slovenia,Kočevje
Bécal,Mexico,Campeche
Great Wakering,United Kingdom,Southend-on-Sea
Greenbriar,United States,Virginia
Paide,Estonia,Järvamaa
Coral Hills,United States,Maryland
Santo Domingo Este,Dominican Republic,Ozama
Griffithstown,United Kingdom,Torfaen
Aleg,Mauritania,Brakna
Lerik,Azerbaijan,Lerik
Littlemore,United Kingdom,Oxfordshire
Swissvale,United States,Pennsylvania
Audubon,United States,New Jersey
Heage,United Kingdom,Derbyshire
Jœuf,France,Grand Est
Handforth,United Kingdom,Cheshire East
Galleywood,United Kingdom,Essex
Albiate,Italy,Lombardy
Harleston,United Kingdom,Norfolk
Rolle,Switzerland,Vaud
Xochitlan Todos Santos,Mexico,Puebla
San Antonino Castillo Velasco,Mexico,Oaxaca
Basarabeasca,Moldova,Basarabeasca
Zərdab,Azerbaijan,Zərdab
Tadcaster,United Kingdom,North Yorkshire
Anykščiai,Lithuania,Anykščiai
Great Meols,United Kingdom,Wirral
Varėna,Lithuania,Varėna
Malverne,United States,New York
Prienai,Lithuania,Prienai
Krško,Slovenia,Krško
Amble,United Kingdom,Northumberland
Wotton-under-Edge,United Kingdom,Gloucestershire
Almè,Italy,Lombardy
August,United States,California
IJsselmonde,Netherlands,Zuid-Holland
Paulton,United Kingdom,Bath and North East Somerset
Stotfold,United Kingdom,Hertfordshire
Palavas-les-Flots,France,Occitanie
Balloch,United Kingdom,West Dunbartonshire
Esbly,France,Île-de-France
Brokopondo,Suriname,Brokopondo
Midway City,United States,California
Hoylake,United Kingdom,Wirral
Bogota,United States,New Jersey
Garden City Park,United States,New York
Grandview Heights,United States,Ohio
Harwood Heights,United States,Illinois
Puerto San Carlos,Mexico,Baja California Sur
Sorø,Denmark,Sjælland
Haledon,United States,New Jersey
Dormont,United States,Pennsylvania
Arlesey,United Kingdom,Central Bedfordshire
Alondra Park,United States,California
Wincanton,United Kingdom,Somerset
Tayoltita,Mexico,Durango
Tetbury,United Kingdom,Gloucestershire
Balakən,Azerbaijan,Balakən
Four Corners,United States,Maryland
Slovenska Bistrica,Slovenia,Slovenska Bistrica
Teabo,Mexico,Yucatán
Ormesby,United Kingdom,Middlesbrough
Hengoed,United Kingdom,Caerphilly
Pont-de-Chéruy,France,Auvergne-Rhône-Alpes
Cheviot,United States,Ohio
Brynmawr,United Kingdom,Blaenau Gwent
Greymouth,New Zealand,West Coast
Broadview Park,United States,Florida
Magor,United Kingdom,Monmouthshire
Beočin,Serbia,Beočin
South San Gabriel,United States,California
Qobustan,Azerbaijan,Qobustan
Soroti,Uganda,Soroti
Piste,Mexico,Yucatán
Préverenges,Switzerland,Vaud
Mount Rainier,United States,Maryland
Maplewood,United States,Missouri
Algodones,Mexico,Baja California
Port Maria,Jamaica,Saint Mary
Guadalupe y Calvo,Mexico,Chihuahua
Nangan,Taiwan,Lienchiang
Malmesbury,United Kingdom,Wiltshire
North Bay Village,United States,Florida
Conshohocken,United States,Pennsylvania
Newent,United Kingdom,Gloucestershire
Bellevue,United States,Pennsylvania
Cospicua,Malta,Bormla
Calderitas,Mexico,Quintana Roo
Gerlafingen,Switzerland,Solothurn
Panindícuaro,Mexico,Michoacán de Ocampo
Mtskheta,Georgia,Mtskheta Mtianeti
Sokobanja,Serbia,Sokobanja
Polmont,United Kingdom,Falkirk
Paloma Creek South,United States,Texas
Eygelshoven,Netherlands,Limburg
Panabá,Mexico,Yucatán
Elderslie,United Kingdom,Renfrewshire
Caldwell,United States,New Jersey
Litija,Slovenia,Litija
Temple Hills,United States,Maryland
San Juan Bautista,Paraguay,Misiones
Falmouth,Jamaica,Trelawny
Riverside,United States,New Jersey
Maḩmūd-e Rāqī,Afghanistan,Kāpīsā
Drogenbos,Belgium,Flanders
Koboko,Uganda,Koboko
Glenside,United States,Pennsylvania
Bentiu,South Sudan,Unity
Cájar,Spain,Andalusia
Wilson,United States,Pennsylvania
Palo Alto,Mexico,Aguascalientes
Rio Bravo,United States,Texas
Soledad Etla,Mexico,Oaxaca
Luba,Equatorial Guinea,Bioko Sur
Sheriff Hill,United Kingdom,Gateshead
Guadalupe,United States,California
Pinchbeck,United Kingdom,Lincolnshire
Chickerell,United Kingdom,Dorset
Boyes Hot Springs,United States,California
Champagne-au-Mont-d’Or,France,Auvergne-Rhône-Alpes
Aračinovo,Macedonia,Aračinovo
Yardımlı,Azerbaijan,Yardımlı
Greifensee,Switzerland,Zürich
Fanwood,United States,New Jersey
Hoogkerk,Netherlands,Groningen
Holtville,United States,California
Yeghegnadzor,Armenia,Vayots’ Dzor
Radstock,United Kingdom,Bath and North East Somerset
East Franklin,United States,New Jersey
Baldwin Harbor,United States,New York
Arafat,Mauritania,Nouakchott Sud
Angostura,Mexico,Sinaloa
Brežice,Slovenia,Brežice
Juncos,Puerto Rico,Puerto Rico
Calumet Park,United States,Illinois
Luquillo,Puerto Rico,Puerto Rico
Glen Ridge,United States,New Jersey
Waterbeach,United Kingdom,Cambridgeshire
Sen Monorom,Cambodia,Mondolkiri
Brotton,United Kingdom,Redcar and Cleveland
Nombre de Dios,Mexico,Durango
Balzan,Malta,Balzan
Kelmė,Lithuania,Kelmė
Gurabo,Puerto Rico,Puerto Rico
Leova,Moldova,Leova
Hatboro,United States,Pennsylvania
Ludza,Latvia,Ludzas Novads
Tala,Uruguay,Canelones
Esperanza,Mexico,Sonora
Ravne na Koroškem,Slovenia,Ravne na Koroškem
Goranboy,Azerbaijan,Goranboy
Waikele,United States,Hawaii
Hillcrest,United States,New York
Park City,United States,Illinois
Oğuz,Azerbaijan,Oğuz
Ta’ Xbiex,Malta,Ta’ Xbiex
Brayton,United Kingdom,North Yorkshire
Briceni,Moldova,Briceni
Mongomo,Equatorial Guinea,Wele-Nzas
Ruyigi,Burundi,Ruyigi
Montpelier,United States,Vermont
Monaghan,Ireland,Monaghan
Ikšķile,Latvia,Ikšķiles Novads
Sky Lake,United States,Florida
Frontera Corozal,Mexico,Chiapas
Cwmbach,United Kingdom,Rhondda Cynon Taff
Sabana Seca,Puerto Rico,Puerto Rico
Krāslava,Latvia,Krāslavas Novads
Slovenj Gradec,Slovenia,Slovenj Gradec
Mobaye,Central African Republic,Basse-Kotto
X-Cán,Mexico,Yucatán
Williston Park,United States,New York
Marsa,Malta,Marsa
Teleneşti,Moldova,Teleneşti
Hola,Kenya,Tana River
Ādaži,Latvia,Ādažu Novads
Naujoji Akmenė,Lithuania,Akmenė
Chicxulub Puerto,Mexico,Yucatán
Dunellen,United States,New Jersey
Stompwijk,Netherlands,Zuid-Holland
Lapovo,Serbia,Lapovo
Glenolden,United States,Pennsylvania
Nyack,United States,New York
Hampstead,Canada,Quebec
Aizkraukle,Latvia,Aizkraukles Novads
Donduşeni,Moldova,Donduşeni
San Lorenzo,Puerto Rico,Puerto Rico
Nakasongola,Uganda,Nakasongola
Ajdovščina,Slovenia,Ajdovščina
Souderton,United States,Pennsylvania
Yabucoa,Puerto Rico,Puerto Rico
Ridley Park,United States,Pennsylvania
Līvāni,Latvia,Līvānu Novads
San Isidro,Puerto Rico,Puerto Rico
Great Neck Plaza,United States,New York
Berovo,Macedonia,Berovo
Trindade,Sao Tome And Principe,São Tomé
Orland Hills,United States,Illinois
Gulbene,Latvia,Gulbenes Novads
Kratovo,Macedonia,Kratovo
Stratford,New Zealand,Taranaki
Limbaži,Latvia,Limbažu Novads
Luqa,Malta,Luqa
Mahibadhoo,Maldives,Ari Atholhu Dhekunuburi
Twin Rivers,United States,New Jersey
Las Piedras,Puerto Rico,Puerto Rico
Bački Petrovac,Serbia,Bački Petrovac
Madona,Latvia,Madonas Novads
Hewlett,United States,New York
Criuleni,Moldova,Criuleni
Eydhafushi,Maldives,Maalhosmadulu Dhekunuburi
South Valley Stream,United States,New York
Diekirch,Luxembourg,Diekirch
Sopište,Macedonia,Sopište
Šalčininkai,Lithuania,Šalčininkai
Clifton Heights,United States,Pennsylvania
Lauderdale-by-the-Sea,United States,Florida
Notre Dame,United States,Indiana
Opuwo,Namibia,Kunene
Cedarhurst,United States,New York
Folcroft,United States,Pennsylvania
Guadalupe,United States,Arizona
Manorhaven,United States,New York
Puerto Real,Puerto Rico,Puerto Rico
Ewa Villages,United States,Hawaii
South Monrovia Island,United States,California
Contra Costa Centre,United States,California
Bogovinje,Macedonia,Bogovinje
Tuckahoe,United States,New York
Alūksne,Latvia,Alūksnes Novads
Mae Hong Son,Thailand,Mae Hong Son
Puerto Baquerizo Moreno,Ecuador,Galápagos
Castroville,United States,California
West View,United States,Pennsylvania
Naples Manor,United States,Florida
Bogatić,Serbia,Bogatić
Prospect Park,United States,Pennsylvania
Ambler,United States,Pennsylvania
Forest Glen,United States,Maryland
Bronxville,United States,New York
Kingston Estates,United States,New Jersey
Pasvalys,Lithuania,Pasvalys
Sal Rei,Cabo Verde,Boa Vista
Jõgeva,Estonia,Jõgevamaa
Cəbrayıl,Azerbaijan,Cəbrayıl
Ghanzi,Botswana,Ghanzi
Põlva,Estonia,Põlvamaa
Vittoriosa,Malta,Birgu
Ciudad Guzmán,Mexico,Jalisco
Cameron Park,United States,Texas
Saranap,United States,California
Schaan,Liechtenstein,Schaan
Espargos,Cabo Verde,Sal
Kennett Square,United States,Pennsylvania
Junik,Kosovo,Junik
Preiļi,Latvia,Preiļu Novads
Siteki,Swaziland,Lubombo
Viqueque,Timor-Leste,Viqueque
Lucea,Jamaica,Hanover
Rapla,Estonia,Raplamaa
West Loch Estate,United States,Hawaii
Lakeview,United States,New York
Binghamton University,United States,New York
Glarus,Switzerland,Glarus
Rutana,Burundi,Rutana
Fruitridge Pocket,United States,California
Bač,Serbia,Bač
Larchmont,United States,New York
Bogdanci,Macedonia,Bogdanci
Arroyo,Puerto Rico,Puerto Rico
Pleasure Point,United States,California
Zarasai,Lithuania,Zarasai
Sežana,Slovenia,Sežana
Zagorje,Slovenia,Zagorje ob Savi
District Heights,United States,Maryland
Naval Academy,United States,Maryland
Muramvya,Burundi,Muramvya
Lielvārde,Latvia,Lielvārdes Novads
Studeničani,Macedonia,Studeničani
Savannah,United States,Texas
Għaxaq,Malta,Għaxaq
Penn Wynne,United States,Pennsylvania
Echternach,Luxembourg,Echternach
Kupiškis,Lithuania,Kupiškis
Črnomelj,Slovenia,Črnomelj
Appenzell,Switzerland,Appenzell Innerrhoden
Idrija,Slovenia,Idrija
Norwood,United States,Pennsylvania
Jamesburg,United States,New Jersey
Ranillug,Kosovo,Ranillug
Mayflower Village,United States,California
Elsmere,United States,Delaware
Lija,Malta,Lija
Prevalje,Slovenia,Prevalje
McKees Rocks,United States,Pennsylvania
Balvi,Latvia,Balvu Novads
Charlemagne,Canada,Quebec
Prospect Park,United States,New Jersey
Outapi,Namibia,Omusati
Cidra,Puerto Rico,Puerto Rico
Lorengau,Papua New Guinea,Manus
Hrastnik,Slovenia,Hrastnik
Plymouth,United States,Pennsylvania
Bay Harbor Islands,United States,Florida
Tevragh Zeina,Mauritania,Nouakchott Ouest
White City,United States,Utah
Iecava,Latvia,Iecavas Novads
Mamushë,Kosovo,Mamushë
Fulin,China,Sichuan
Mount Carmel,United States,Pennsylvania
Bellevue,United States,Kentucky
South Tucson,United States,Arizona
Lewisburg,United States,Pennsylvania
Gospić,Croatia,Ličko-Senjska Županija
Sisimiut,Greenland,Qeqqata
