vendor_no,vendor_name,vendor_city,country,region,order_no,order_date,delivery_no,promised_date,delivery_date,days_variance,otd_ld
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-05-11,HDE0H11032,2021-12-17,2021-12-16,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0030,2021-11-18,HDE0001154,2021-12-15,2021-12-14,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-11-11,HDE0H11032,2021-12-14,2021-12-13,4,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0024,2021-11-11,HDE0001123,2021-12-13,2021-12-12,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-02-12,HDE0H17015,2021-07-12,2021-06-12,61,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-02-12,HDE0H17015,2021-06-12,2021-05-12,-61,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-09-09,HDE0001156,2021-11-19,2021-11-18,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-06-10,HDE0001158,2021-11-17,2021-11-16,3,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-06-10,HDE0H11032,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-09-09,HDE0H11032,2021-10-15,2021-10-14,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-05-05,HDE0H17015,2021-08-10,2021-07-10,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0034,2021-08-19,HDE0H11023,2021-09-17,2021-09-16,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-05-03,HDE0H17015,2021-08-13,2021-12-08,-117,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-05-03,HDE0H17015,2021-07-16,2021-07-15,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-05-05,HDE0H11032,2021-09-07,2021-08-07,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0039,2021-02-15,HDE0H19002,2021-11-06,2021-10-06,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0034,2021-05-05,HDE0H11023,2021-11-06,2021-10-06,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-05-03,HDE0001156,2021-10-06,2021-09-06,0,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-02-15,HDE0001156,2021-07-06,2021-06-06,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-02-15,HDE0001158,2021-11-05,2021-10-05,61,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-03-17,HDE0H11032,2021-10-05,2021-09-05,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0030,2021-05-03,HDE0001154,2021-07-05,2021-06-05,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0027,2021-03-17,HDE0001151,2021-07-05,2021-06-05,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0038,2021-02-15,HDE0H17015,2021-09-04,2021-08-04,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0034,2021-01-15,HDE0H11023,2021-09-04,2021-08-04,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0030,2021-05-03,HDE0001154,2021-07-04,2021-06-04,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-03-02,HDE0H11032,2021-03-19,2021-03-18,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-03-02,HDE0001158,2021-03-17,2021-03-16,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-03-02,HDE0001156,2021-09-03,2021-08-02,-140,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0023,2021-01-15,HDE0001114,2021-12-03,2021-11-03,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-03-02,HDE0H11032,2021-12-03,2021-11-03,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-03-02,HDE0001158,2021-10-03,2021-09-03,-172,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-03-02,HDE0001156,2021-09-03,2021-08-02,32,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-03-02,HDE0001158,2021-09-03,2021-08-03,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-03-02,HDE0H11032,2021-05-03,2021-04-03,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-03-02,HDE0001156,2021-11-02,2021-10-02,61,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0036,2021-01-15,HDE0H11032,2021-05-02,2021-04-02,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0025,2021-01-15,HDE0001125,2021-01-20,2021-01-19,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0326,2020-12-17,HDE0001156,2021-12-01,2021-11-01,0,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0328,2020-09-12,HDE0001158,2021-11-01,2021-10-01,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0331,2020-04-11,HDE0H11032,2020-12-18,2020-12-17,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0326,2020-04-11,HDE0001156,2020-11-12,2020-10-12,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0333,2020-04-11,HDE0H17015,2020-11-12,2020-10-12,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0326,2020-08-09,HDE0001156,2020-10-19,2020-10-18,-2,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0328,2020-08-10,HDE0001158,2020-10-16,2020-10-15,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0331,2020-09-17,HDE0H11032,2020-10-16,2020-10-15,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0333,2020-08-09,HDE0H17015,2020-10-16,2020-10-15,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0328,2020-08-09,HDE0001158,2020-09-18,2020-09-17,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0326,2020-08-09,HDE0001156,2020-09-14,2020-09-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0327,2020-06-07,HDE0001157,2020-07-17,2020-07-16,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0322,2020-06-07,HDE0001152,2020-07-16,2020-07-14,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0332,2020-06-15,HDE0H17008,2020-10-07,2020-09-07,30,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0334,2020-02-04,HDE0H19002,2020-04-16,2020-04-15,111,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0328,2019-12-19,HDE0001158,2020-03-04,2020-02-04,29,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0322,2019-12-19,HDE0001152,2020-06-03,2020-05-03,31,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0333,2019-12-19,HDE0H17015,2020-02-17,2020-02-16,-2,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0329,2019-12-19,HDE0H11023,2020-02-17,2020-02-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB20/0322,2019-12-19,HDE0001152,2020-02-17,2020-02-13,1,"On-Time Delivery"
K02760,"Fr. Schulte",Lüdenscheid,Germany,Germany,EB21/1666,2021-03-06,KU00022360,2021-11-08,2021-10-08,-56,"Late Delivery"
K02760,"Fr. Schulte",Lüdenscheid,Germany,Germany,EB20/1261,2020-09-07,KU00022360,2020-09-16,2020-09-15,3,"On-Time Delivery"
K02760,"Fr. Schulte",Lüdenscheid,Germany,Germany,EB19/3850,2019-12-13,KU00022360,2020-03-20,2020-12-03,-265,"Late Delivery"
K04159,"Hella KGaA Hueck & Co.",Lippstadt,Germany,Germany,EB21/0798,2021-03-16,HES0054020,2021-09-16,2021-09-15,2,"On-Time Delivery"
K03475,"K. D. Feddersen GmbH & Co. KG",Hamburg,"United States","North America",EB20/2198,2020-05-11,HDE0004011,2020-12-11,2020-11-11,2,"On-Time Delivery"
K03475,"K. D. Feddersen GmbH & Co. KG",Hamburg,"United States","North America",EB20/0603,2020-06-03,HDE0004011,2020-11-03,2020-09-03,30,"On-Time Delivery"
K04662,"Inovan GmbH & Co. KG",Stolberg,Germany,Germany,EB21/0619,2021-01-03,HDE0499708,2021-12-04,2021-11-04,-61,"Late Delivery"
K04662,"Inovan GmbH & Co. KG",Stolberg,Germany,Germany,EB20/2496,2020-09-12,HDE0H47001,2021-08-02,2021-07-02,-61,"Late Delivery"
K04662,"Inovan GmbH & Co. KG",Stolberg,Germany,Germany,EB20/2182,2020-05-11,HDE0H47001,2020-12-14,2020-12-13,-31,"Late Delivery"
K04127,"Robert Bosch GmbH",Waiblingen,Germany,Germany,EB21/2835,2020-08-01,RB00402643,2021-11-22,2021-11-18,-310,"Late Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB21/0618,2021-01-03,HDE0430752,2021-11-05,2021-10-05,61,"On-Time Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/2495,2020-09-12,HDE0H39001,2021-02-17,2021-02-16,3,"On-Time Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/2248,2020-11-11,HDE0H39001,2021-01-13,2021-12-01,-320,"Late Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/2181,2020-05-11,HDE0H39001,2020-09-12,2020-08-12,92,"On-Time Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/1881,2020-01-10,HDE0H39001,2020-12-11,2020-11-11,2,"On-Time Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/0801,2020-03-04,HDE0H39001,2020-11-06,2020-09-06,91,"On-Time Delivery"
K03447,"Weppler Filter GmbH",Oberursel,Germany,Germany,EB20/0801,2020-03-04,HDE0H39001,2020-06-05,2020-05-05,61,"On-Time Delivery"
K03398,"SKP Technik GmbH",Neunkirchen,Germany,Germany,EB20/0949,2020-06-05,D440000511,2020-06-18,2020-06-16,1,"On-Time Delivery"
K03398,"SKP Technik GmbH",Neunkirchen,Germany,Germany,EB20/0048,2020-01-14,18201251,2020-09-03,2020-08-03,-61,"Late Delivery"
K03398,"SKP Technik GmbH",Neunkirchen,Germany,Germany,EB19/3769,2019-01-11,D410114063,2020-10-02,2020-09-02,-123,"Late Delivery"
K04275,"Freudenberg FST GmbH",Weinheim,Germany,Germany,EB21/2646,2021-09-17,KS00113701,2021-12-17,2021-12-16,-65,"Late Delivery"
K04275,"Freudenberg FST GmbH",Weinheim,Germany,Germany,EB21/2646,2021-09-17,KS00113701,2021-12-17,2021-12-16,-65,"Late Delivery"
K03806,"SURFACED GmbH",Oranienburg,Germany,Germany,EB20/2543,2020-12-16,KP0064C007,2021-12-01,2021-11-01,93,"On-Time Delivery"
K03806,"SURFACED GmbH",Oranienburg,Germany,Germany,EB20/2543,2020-12-16,KP0064C005,2021-12-01,2021-11-01,93,"On-Time Delivery"
K03806,"SURFACED GmbH",Oranienburg,Germany,Germany,EB20/2543,2020-12-16,KP0064C004,2021-12-01,2021-11-01,93,"On-Time Delivery"
K00031,"Richard Bergner Verbindungs-",Schwabach,Germany,Germany,EB21/3345,2021-11-08,24000029,2021-12-17,2021-12-16,-1,"Late Delivery"
K00031,"Richard Bergner Verbindungs-",Schwabach,Germany,Germany,EB19/3354,2019-01-11,OE00492472,2020-01-20,2020-01-19,-2,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2430,2021-08-18,TF00000005,2021-10-12,2021-09-12,30,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2430,2021-08-18,TF00000005,2021-10-12,2021-09-12,30,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2430,2021-08-18,TF00000005,2021-10-12,2021-09-12,30,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2430,2021-08-18,TF00000005,2021-10-12,2021-09-12,30,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2430,2021-08-18,TF00000005,2021-10-12,2021-09-12,30,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/3012,2021-08-10,TF00000010,2021-11-16,2021-11-15,-65,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2423,2021-08-18,TF00000002,2021-11-15,2021-11-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1716,2021-07-06,"O3 1412601-3",2021-10-19,2021-10-18,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1000,2021-01-07,DMR0000005,2021-09-17,2021-09-16,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1000,2021-01-07,DMR0000005,2021-09-17,2021-09-16,-2,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1633,2021-01-06,TF00000005,2021-09-13,2021-12-09,-61,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/2176,2021-04-08,TF00000009,2021-08-17,2021-08-16,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1633,2021-01-06,TF00000005,2021-06-08,2021-05-08,31,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1633,2021-01-06,TF00000005,2021-06-08,2021-05-08,31,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/1022,2021-07-05,DMR0000015,2021-08-07,2021-07-07,-1,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0380,2021-05-02,TF00000002,2021-05-20,2021-05-19,48,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0380,2021-05-02,TF00000002,2021-05-20,2021-05-19,48,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0878,2021-01-03,DMR0000008,2021-05-20,2021-05-19,47,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0384,2021-05-02,TF00000005,2021-05-17,2021-05-16,203,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0380,2021-05-02,TF00000002,2021-05-17,2021-05-16,51,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0512,2021-02-18,DMR0000001,2021-04-15,2021-04-14,112,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2459,2020-07-12,TF00000003,2021-04-16,2021-04-15,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2329,2020-10-12,TF00000002,2021-07-04,2021-06-04,-79,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2329,2020-10-12,TF00000002,2021-07-04,2021-06-04,-79,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0384,2021-05-02,TF00000005,2021-10-03,2021-09-03,-61,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2021-01-14,DMR0000012,2021-10-03,2021-09-03,-184,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2021-01-14,DMR0000011,2021-09-03,2021-08-03,-153,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2460,2020-07-12,TF00000005,2021-05-03,2021-04-03,92,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2020-07-12,DMR0000009,2021-11-02,2021-10-02,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2020-07-12,DMR0000007,2021-11-02,2021-10-02,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2021-01-15,DMR0000002,2021-11-02,2021-10-02,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2460,2020-07-12,TF00000005,2021-11-02,2021-10-02,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB21/0080,2021-08-01,DMR0000004,2021-11-02,2021-10-02,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2329,2020-10-12,TF00000002,2021-01-21,2021-01-20,56,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2048,2020-09-14,DMR0000003,2021-01-20,2021-01-19,-1,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2460,2020-10-12,TF00000005,2021-12-01,2021-11-01,0,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2434,2020-07-12,TF00000011,2021-12-01,2021-11-01,0,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2462,2020-07-12,TF00000008,2021-12-01,2021-11-01,0,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/2048,2020-09-14,DMR0000009,2020-11-19,2020-11-18,441,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1456,2020-06-07,DMR0000003,2020-11-13,2020-12-11,-25,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1507,2020-02-10,TF00000002,2020-10-19,2020-10-18,256,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1507,2020-08-09,TF00000002,2020-10-15,2020-10-14,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1507,2020-08-09,TF00000002,2020-10-15,2020-10-14,0,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1508,2020-08-09,TF00000005,2020-12-10,2020-11-10,-61,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1456,2020-08-14,DMR0000002,2020-09-18,2020-09-17,53,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1456,2020-06-07,DMR0000003,2020-09-18,2020-09-17,-1,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1456,2020-06-07,DMR0000005,2020-09-15,2020-09-14,56,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1456,2020-06-07,DMR0000009,2020-09-15,2020-09-14,56,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1233,2020-02-07,TF00000002,2020-08-19,2020-08-18,112,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1233,2020-02-07,TF00000002,2020-08-19,2020-08-18,-129,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1234,2020-02-07,TF00000005,2020-08-14,2020-12-08,-116,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1234,2020-02-07,TF00000005,2020-06-08,2020-05-08,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1008,2020-06-05,TF00000002,2020-07-20,2020-07-19,80,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1234,2020-02-07,TF00000005,2020-07-16,2020-07-15,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1232,2020-06-17,PH00000003,2020-07-15,2020-07-14,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1131,2020-05-06,DMR0000002,2020-07-14,2020-07-13,-36,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1008,2020-06-05,TF00000005,2020-08-07,2020-07-07,92,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1080,2020-05-06,DMR0000014,2020-06-19,2020-06-18,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/1008,2020-06-05,TF00000005,2020-11-06,2020-10-06,61,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB19/0335,2019-12-19,PH00000003,2020-09-06,2020-04-06,38,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0981,2020-06-03,DMR0000007,2020-08-06,2020-07-06,576,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0399,2020-02-14,PH00000005,2020-12-03,2020-11-03,-31,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0400,2020-02-14,PH00000006,2020-10-03,2020-08-03,-143,"Late Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0191,2020-01-17,DMR0000004,2020-02-18,2020-02-17,1,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0354,2019-12-13,DMR0000003,2020-02-18,2020-02-16,2,"On-Time Delivery"
K03252,"TE Connectivity Germany GmbH",Bensheim,Germany,Germany,EB20/0194,2019-06-12,DMR0000010,2020-02-13,2020-12-02,-293,"Late Delivery"
K02517,"Pöppelmann GmbH & Co. KG",Lohne,Germany,Germany,EB21/1129,2021-04-14,HDE0900204,2021-06-05,2021-05-05,61,"On-Time Delivery"
K02517,"Pöppelmann GmbH & Co. KG",Lohne,Germany,Germany,EB20/0796,2020-02-04,HDE0900204,2020-11-05,2020-10-05,-92,"Late Delivery"
K03216,"Fischer GmbH & Co.KG",Sinsheim,Germany,Germany,EB20/0255,2020-01-16,"S1 0-1412705-3",2020-02-13,2020-12-02,-293,"Late Delivery"
K04771,"JK Technischer Handel GmbH",Kempen,Germany,Germany,EB20/2465,2020-07-12,TF00000013,2020-12-14,2020-12-13,5,"On-Time Delivery"
K02737,Vulkanfiber-Fabrik,Geldern,Germany,Germany,EB21/0440,2021-05-19,17000168,2021-07-20,2021-07-15,-29,"Late Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03451,2021-12-13,2021-12-12,-1,"Late Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03456,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03455,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03454,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03453,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03452,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03450,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03449,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2962,2021-04-10,HDE0H03446,2021-12-11,2021-11-11,30,"On-Time Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2760,2021-09-16,HDE0H03458,2021-10-13,2021-12-10,-56,"Late Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2760,2021-09-16,HDE0H03456,2021-10-13,2021-12-10,-56,"Late Delivery"
K04152,"Klumpp GmbH & Co. KG",Bretten,Germany,Germany,EB21/2760,2021-09-16,HDE0H03455,2021-10-13,2021-12-10,-56,"Late Delivery"
