Creditor No_;Datev Account No_;Fax No_;Group Vendor No_;ILN No_;No_ Series;No_;Our Account No_;Pay-to Vendor No_;Phone No_;Primary Contact No_;Registration No_;Telex No_;VAT Registration No_;Validate EU Vat Reg_ No_;akq No_ of Entries Paym_ Adv_;akq Payment Vendor No_;Address 2;Address;Application Method;Base Calendar Code;Block Payment Tolerance;Blocked;Budgeted Amount;Cash Flow Payment Terms Code;City;Construction Service;Contact;Country_Region Code;County;Currency Code;Currency Id;Datev Addressee Type;Datev Export Date;Delivery Reminder Terms;Diverse Vendors;Document Sending Profile;Don_t Export Bank Account;E-Mail;Fin_ Charge Terms Code;GLN;Gen_ Bus_ Posting Group;Global Dimension 1 Code;Global Dimension 2 Code;Home Page;IC Partner Code;Id;Image;Invoice Disc_ Code;Language Code;Last Date Modified;Last Modified Date Time;Lead Time Calculation;Location Code;Name 2;Name;Partner Type;Payment Method Code;Payment Method Id;Payment Terms Code;Payment Terms Id;Picture;Post Code;Preferred Bank Account Code;Prepayment _;Prices Including VAT;Priority;Privacy Blocked;Purchaser Code;Release Status;Release Until;Responsibility Center;SSCC Nos_;Search Name;Shipment Method Code;Shipping Agent Code;Statistics Group;Tax Area Code;Tax Liable;Telex Answer Back;Territory Code;VAT Bus_ Posting Group;Vendor Posting Group;akq Allow Payment 3rd parties;akq DTAZV Charges Rule;akq DTAZV Currency Instruction;akq Direction Code;akq Payment Type;akq Single Payment;timestamp
;;0032-51-48 75 94;;;KRE;K02640;;;0032-51-48 00 48;;;;;0;0;;;Bruggesteenweg 7;0;KRED;0;0;0,00000000000000000000;;Meulebeke;0;Frau Sabine Bultynck;BE;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;sabine.bultynck@be.vitalo.net;;;EU;;;www.vitalo.net;;{C457E3DC-C6FC-4A43-9DD5-6ADC426D30B4};{00000000-0000-0000-0000-000000000000};K02640;ENG;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;M-industries NV vereffening;Vitalo Holding N.V;0;SEPA EU;{D762816C-794B-4AAA-A9CE-6175E622A849};VOR ENGL.;{BAB3AA01-0DFA-459A-9381-F4ED7572AE37};;BE-8760;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;VITALO/M-INDUSTRIES;3;;0;;0;;;EU;EU;0;0;0;;;0;0000000053C3F6CF
;;03381/709586;;;KRE;K02641;;;03381/714420;;;;;0;0;;;Weberstr. 32;0;KRED;0;0;0,00000000000000000000;;Brandenburg;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{BDA7C9C1-E705-404E-9E20-5740FDCFD4A2};{00000000-0000-0000-0000-000000000000};K02641;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;Kunstoff-Verbindungs-Technik;Dipl.-Ing. B. Wibberenz e. K.;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;14772;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;WIBBERENZ;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6D4
;;030/38638 677;;;KRE;K02642;;;030/386 38 0;;;;;0;0;;;Rohrdamm 7;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{322C235C-B5D9-4A9B-B178-944AF2AC3058};{00000000-0000-0000-0000-000000000000};K02642;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;Production GmbH & Co. KG;EPROXX Electronic Systems;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};7;{404B5637-830E-46DD-B648-D3C826CE2602};;13629;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;EPROXX/ SIEMENS BUILDING;;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6D9
;;;;;KRE;K02643;;;;;;;IT02336630161;0;0;;;Via Locatelli 45;0;KRED;0;0;0,00000000000000000000;;Bariano BG;0;Herrn Dr. Carantini;IT;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;EU;;;;;{EA60CB55-1125-4596-8B1B-63526FBE93AF};{00000000-0000-0000-0000-000000000000};K02643;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;di Forlani Adriana;Erboristeria Forlani;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};10;{D62A18D7-C7F8-4D54-AC29-5E353D2136A6};;IT-24050;;0,00000000000000000000;0;0;0;MH;0;01.01.1753 00:00:00;;;ERBORISTERIA FORLANI;;;0;;0;;;EU;EU;0;0;0;;;0;0000000053C3F6DE
;;07731/921623;;;KRE;K02644;;;07731/52967;;;;;0;0;;;Wiesenpfad 4;0;KRED;0;0;0,00000000000000000000;;Rielasingen;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{9385CF74-2D4F-4116-A086-D166E879AA6A};{00000000-0000-0000-0000-000000000000};K02644;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;;IM-Transporte S. Michels;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};7;{404B5637-830E-46DD-B648-D3C826CE2602};;78239;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;IM-TRANSPORTE S. MICHELS;;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6E3
;;06237/5361;;;KRE;K02645;;;06237/8600;;;;;0;0;;;Heideweg 4;0;KRED;0;0;0,00000000000000000000;;Birkenheide;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{B19FB88F-DEB9-4075-8FEB-08720CF4C2E2};{00000000-0000-0000-0000-000000000000};K02645;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;;Ruschin GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;67134;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;RUSCHIN GMBH;;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6E8
;;;;;KRE;K02646;;;0172/9716351;;;;;0;0;;;Bristolstraße 17 B;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{7299AB98-F77F-4564-8315-2835EE7E3845};{00000000-0000-0000-0000-000000000000};K02646;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;Lothar Hölbüng GbR;Bernhard Packhäuser &;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;13349;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;PACKHÄUSER;;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6ED
;;02102-44 00 24;;;KRE;K02647;7806344;;02102-44 00 0;;;;;0;0;;;Harkortstr. 54;0;KRED;0;0;0,00000000000000000000;;Ratingen;0;Herrn Kerres;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@Sartorius-Werkzeuge.de;;;IL;;;www.Sartorius-Werkzeuge.de;;{40643C3D-2CCE-4771-AED1-5F58EB0C88E6};{00000000-0000-0000-0000-000000000000};K02647;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;;SARTORIUS Nachf. GmbH & Co;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;40880;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;SARTORIUS NACHF. GMBH & CO;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6F2
;;06171-91 22 14;;;KRE;K02648;D114885;;06171-91 22 10;;;;;0;0;;;An den drei Hasen;0;KRED;0;2;0,00000000000000000000;;Oberursel;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{BFDF685E-607B-4584-B37A-033865487998};{00000000-0000-0000-0000-000000000000};K02648;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;Qualitäts Management Center;#QMC#;0;;{00000000-0000-0000-0000-000000000000};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;61440;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#QMC#;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6F7
;;040-752491 91;;;KRE;K02649;145800;K04065;040-752491 0;;;;DE246283036;0;0;;;Hellgrundweg 111;0;KRED;0;2;0,00000000000000000000;;Hamburg;0;Jan Lunau;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@wernerwirth.de;;;IL;;;www.wernerwirth.de;;{861B5672-BC9F-4ED6-84BA-6332C56AD8C1};{00000000-0000-0000-0000-000000000000};K02649;;21.02.2020 00:00:00;21.02.2020 20:45:26;;A-01;;#Werner Wirth Systems GmbH#;0;;{00000000-0000-0000-0000-000000000000};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;22525;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;WERNER WIRTH;92;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F6FC
;;0371-56159 29;;;KRE;K02650;14272;;0371-56159 11;;;;;0;0;;;Clausstr. 34;0;KRED;0;0;0,00000000000000000000;;Chemnitz;0;Frau Hofmann;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;Bandstahlservice@t-online.de;;;IL;;;www.bandstahlservice.de;;{03D9254E-4BF3-4046-893F-D7FE3B697B57};{00000000-0000-0000-0000-000000000000};K02650;;25.01.2020 00:00:00;25.01.2020 09:36:25;;B-01;;Bandstahlservice Schlag GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;09126;HYPO;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;BANDSTAHL SCHLAG;28;;0;;0;;;IL;IL;0;0;0;;;0;0000000053299024
;;06781-219 650;;;KRE;K02651;29036;;06781 219 652;;;;;0;0;;;Austr. 6;0;KRED;0;0;0,00000000000000000000;;Idar-Oberstein;0;Frau Juliane Schäfer;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;service@metall-spezialist.de;;;IL;;;www.metall-spezialist.de;;{8D34B90A-A78E-45CC-9CEE-25CD41DB70F8};{00000000-0000-0000-0000-000000000000};K02651;;25.01.2020 00:00:00;25.01.2020 09:36:25;;B-01;;Erik Türkis - Renouf Metalle;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};300802;{FA1D5AE3-AEE1-4D7B-B671-B23F106DA126};;55743;SPK;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ERIK TÜRKIS - RENOUF METALLE;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053299029
;;(+39) 02.89590.400;;;KRE;K02652;;;(+39) 02.89590.213;;;;;0;0;;;Via Valsolda 15;0;KRED;0;2;0,00000000000000000000;;Milano;0;Pierfranco Borroni;IT;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;fitre@fitre.it;;;EU;;;www.fitre.com;;{2421CBA4-ABD5-4D81-AA38-64250E0FF196};{00000000-0000-0000-0000-000000000000};K02652;ENG;22.10.2021 00:00:00;22.10.2021 08:18:41;;A-01;elettronica telecomunicazioni;FITRE S.p.A.;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};60;{58ED2591-DF50-4A3D-B2E7-2546DBD027E7};;IT-20142;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;FITRE;92;;0;;0;;;EU;EU;0;0;0;;;0;000000005954DE43
;;07331-82946;;;KRE;K02654;;;07331-9878 0;;;;;0;0;;;Postfach 11 66;0;KRED;0;0;0,00000000000000000000;;Kuchen;0;Herrn Walter Sperr;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;www.menzel-metallchemie.de;;{D5857022-D6B7-41B5-AC9F-45F5BBF8D415};{00000000-0000-0000-0000-000000000000};K02654;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;MENZEL Metallchemie GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;73327;DB;0,00000000000000000000;0;0;0;UW;0;01.01.1753 00:00:00;;;MENZEL;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F70C
;;030-752 07 11;;;KRE;K02657;44845;;030-755 06 221;;;;;0;0;;;Rohdestr. 17;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@dreusicke.de;;;IL;;;www.dreusicke.de;;{F99ED0DF-26BF-41ED-BE36-29D080FCC3B8};{00000000-0000-0000-0000-000000000000};K02657;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;Wilhelm Dreusicke GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;12099;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;DREUSICKE;53;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F71B
;;;;;KRE;K02659;;;040/5071060;;;;DE121304343;0;0;;Flughafengebäude 200;Hamburg Aircargo Branch;0;KRED;0;2;0,00000000000000000000;;Hamburg;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{81F9CD33-9F26-46EC-A494-2ACDC8EC8CA5};{00000000-0000-0000-0000-000000000000};K02659;;22.10.2021 00:00:00;22.10.2021 08:20:47;;A-01;Deutschland GmbH;Nippon Express;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};7;{404B5637-830E-46DD-B648-D3C826CE2602};;22335;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;NIPPON EXPRESS;;;0;;0;;;IL;IL;0;0;0;;;0;000000005954E148
;;06131-91073 60;;;KRE;K02665;;;06131-91073 0;;;;;0;0;;;An der Fahrt 13;0;KRED;0;2;0,00000000000000000000;;Mainz;0;Dr. Rausch;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{7466B753-5678-44AE-A461-81476247CC2A};{00000000-0000-0000-0000-000000000000};K02665;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;#Analog Microelectronics GmbH#;0;;{00000000-0000-0000-0000-000000000000};14;{566CF1E7-0BCE-42A5-B113-98CE655D47EF};;55124;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#ANALOG MICROELECTRONICS GMBH#;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F73E
;;030-779908 81;;;KRE;K02666;111216;;030-779908 0;;;;;0;0;;;Postfach 41 06 68;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@mertens-stahl.de;;;IL;;;;;{6E12B92F-2A63-4430-8332-8D6AB2E66455};{00000000-0000-0000-0000-000000000000};K02666;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;Dr. Wilhelm Mertens GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};30;{0638B4F7-4DD4-4179-BE79-3D1D4AD8A9D4};;12116;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;MERTENS;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F743
;;0032 56 60 82 23;;;KRE;K02669;;;0032 56 60 11 55;;;;;0;0;;Zone 1;Drie Koningenstraat 6;0;KRED;0;0;0,00000000000000000000;;Sint-Baafs-Vijve;0;Herrn Wim Bossuyt;BE;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;wim@lefeverebeel.be;;;EU;;;http://www.lefeverebeel.be;;{61812FCF-6A80-4C7C-B0A0-D1D42A050F1E};{00000000-0000-0000-0000-000000000000};K02669;ENG;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;Kartonage;Lefevere-Beel n.v.;0;SEPA EU;{D762816C-794B-4AAA-A9CE-6175E622A849};40;{EC874CFC-2AE3-47F4-BD26-921676840D10};;BE-8710;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;LEFEVERE-BEEL N.V.;3;;0;;0;;;EU;EU;0;0;0;;;0;0000000053C3F752
;;06053-9739;;;KRE;K02671;51657;;06053-6161 0;;;;;0;0;;Industriegebiet;Kinzingstr. 9;0;KRED;0;0;0,00000000000000000000;;Wächtersbach / Hessen;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@kremer-reiff.de;;;IL;;;www.kremer-reiff.de;;{186D95ED-EE1C-446C-81B3-766B10F479C5};{00000000-0000-0000-0000-000000000000};K02671;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;Gummi Kunststoff Fertigtechnik;Kremer GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;63607;SPK;0,00000000000000000000;0;0;0;UW;0;01.01.1753 00:00:00;;;KREMER GMBH;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F75C
;;07454-881 11;;;KRE;K02672;;;07454-881 0;;;;;0;0;;;Obere Talstr. 1-5;0;KRED;0;2;0,00000000000000000000;;Sulz-Renfrizhausen;0;Herrn Strobel;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{ECEB9585-80A8-4923-A7AE-2B75A328A23D};{00000000-0000-0000-0000-000000000000};K02672;;22.10.2021 00:00:00;22.10.2021 08:25:33;;A-01;Roland Dreher GmbH;Automatic-Systeme;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;72172;VB;0,00000000000000000000;0;0;0;UW;0;01.01.1753 00:00:00;;;DREHER;12;;0;;0;;;IL;IL;0;0;0;;;0;000000005954E58A
;;09129-90 94 23;;;KRE;K02675;;;09129-90 94 12;;;;DE813391496;0;0;;;Rangaustr. 12;0;KRED;0;2;0,00000000000000000000;;Wendelstein;0;Frau Blos;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;email@ibe-zinn.com;;;IL;;;http://www.ibe-zinn.com;;{95B18582-F1EC-42F5-A6CE-D579317E4E87};{00000000-0000-0000-0000-000000000000};K02675;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;#IBE Zinn-u. Lötprodukte e.K.#;0;;{00000000-0000-0000-0000-000000000000};14;{566CF1E7-0BCE-42A5-B113-98CE655D47EF};;90530;SP;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#IBE ZINN-U. LÖTPRODUKTE E.K.#;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F770
;;0821-902 239;;;KRE;K02678;1083205;;0821-902 285;;103/116/80353;;DE811149979;0;0;;;Theodor-Sachs-Str. 1;0;KRED;0;0;0,00000000000000000000;;Augsburg;0;Herrn Mehmet Özkan;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;christian.kraft@vonroll.com;;;IL;;;www.vonroll-isola.com;;{90B34144-B7EA-4389-9999-F6C3E21BC7E6};{00000000-0000-0000-0000-000000000000};K02678;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;Von Roll Germany GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};30;{0638B4F7-4DD4-4179-BE79-3D1D4AD8A9D4};;86199;SPK;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;VON ROLL;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F77F
;;033203-78741;;;KRE;K02679;;;033203-22415;;;;;0;0;;;Am Fuchsbau 43;0;KRED;0;2;0,00000000000000000000;;Kleinmachnow;0;Herrn Kliem;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;post@kliem-werbung.de;;;IL;;;www.kliem-werbung.de;;{EB6A7AA2-D04F-4F0E-9D76-627EC49ABC57};{00000000-0000-0000-0000-000000000000};K02679;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;#Kliem Werbung;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};10;{D62A18D7-C7F8-4D54-AC29-5E353D2136A6};;14532;LB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#KLIEM;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F784
;;0032 51 40 46 02;;;KRE;K02682;;;0032 51 42 39 00;;;;BE0405190972;0;0;;;Szamotulystraat 15;0;KRED;0;0;0,00000000000000000000;;Tielt;0;Ann Van den Broecke;BE;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@injextru.be;;;EU;;;www.injextru.be;;{08C0C6E8-A665-47F9-BD0E-04E13D8723C9};{00000000-0000-0000-0000-000000000000};K02682;ENG;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;;Injextru Plastics NV;0;SEPA EU;{D762816C-794B-4AAA-A9CE-6175E622A849};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;BE-8700;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;INJEXTRU;3;;0;;0;;;EU;EU;0;0;0;;;0;0000000053C3F793
;;0032 56 259589;;;KRE;K02683;13004;;0032 56 235263;;;;BE0417348339;0;0;;;Venetielaan 28;0;KRED;0;0;0,00000000000000000000;;Harelbeke;0;Denis Demeester;BE;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@allbox.be;;;EU;;;;;{39A164F7-73C7-4634-8713-1B26FA89B072};{00000000-0000-0000-0000-000000000000};K02683;ENG;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;Industriepark Stasegem;Allbox NV;0;SEPA EU;{D762816C-794B-4AAA-A9CE-6175E622A849};300801;{1CEFA1CE-0606-43D8-B066-AAB9B11DCF33};;BE-8530;BNP;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ALLBOX;3;;0;;0;;;EU;EU;0;0;0;;;0;0000000053C3F798
;;033204/ 33777;;;KRE;K02684;12020;;033204/ 33777;;;;;0;0;;Virchowstr. 36;;0;KRED;0;2;0,00000000000000000000;;Beelitz;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{DFE721C3-307B-40FB-9B9E-34773735F5C7};{00000000-0000-0000-0000-000000000000};K02684;;21.02.2020 00:00:00;21.02.2020 20:45:27;;A-01;Frank Unverricht;#UNI Bau#;0;;{00000000-0000-0000-0000-000000000000};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;14547;VB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;UNI BAU UNVERRICHT;2;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F79D
;;02845/29 50-178;;;KRE;K02686;106153109;;02845/29 50-170;;;;;0;0;;;Oderstraße 3;0;KRED;0;0;0,00000000000000000000;;Neukirchen-Vluyn;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@hsr.de;;;IL;;;;;{F6E7EA4C-6686-49D2-B94A-18DA98B2368D};{00000000-0000-0000-0000-000000000000};K02686;;25.01.2020 00:00:00;25.01.2020 09:36:26;;A-01;;HSR GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;47506;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;HSR GMBH;53;;0;;0;;;IL;IL;0;0;0;;;0;00000000532990D3
;;02372-9498-99;;;KRE;K02688;10730;;02372-9498-0;;;;;0;0;;;An der Schleuse 11;0;KRED;0;0;0,00000000000000000000;;Hemer;0;Herrn Wolfgang Böhm;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;order@schleich.com;;;IL;;;www.schleich.com;;{D6323047-4425-4D25-803D-0588E5F87638};{00000000-0000-0000-0000-000000000000};K02688;;25.01.2020 00:00:00;25.01.2020 09:36:26;;A-01;;Schleich GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;58675;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;SCHLEICH GMBH;12;;0;;0;;;IL;IL;0;0;0;;;0;00000000532990D8
;;02272-91981 7;;;KRE;K02690;1653301;;02272/91981-0;;;;;0;0;;;Robert-Bosch-Str. 5;0;KRED;0;0;0,00000000000000000000;;Bedburg;0;Herrn Werner;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;tecum@tecum-gmbh.de;;;IL;;;www.tecum-gmbh.de;;{9B06F03E-8671-4D29-8B7C-6ACBF5E37329};{00000000-0000-0000-0000-000000000000};K02690;;25.01.2020 00:00:00;25.01.2020 09:36:26;;A-01;Industrieprodukte GmbH;TECUM;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;50181;SPK;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;TECUM;12;;0;;0;;;IL;IL;0;0;0;;;0;00000000532990E2
;;0331 7482047;;;KRE;K02693;;;0331 707031;;;;;0;0;;;Rudolf-Breitscheid-Str. 49;0;KRED;0;0;0,00000000000000000000;;Potsdam;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;Blindenhilfswerk@t-online.de;;;IL;;;;;{A0ECA5C8-BDDE-4A5C-BC5E-2E4DCAE09AFF};{00000000-0000-0000-0000-000000000000};K02693;;21.02.2020 00:00:00;21.02.2020 20:45:28;;A-01;für das Land Brandenburg e.V.;Blindenhilfswerk;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};14;{566CF1E7-0BCE-42A5-B113-98CE655D47EF};;14482;VB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;BLINDENHILFSWERK;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3F7B6
