lieferzeile_no,order_no,buy_from_city,buy_from_post_code,buy_from_vendor_name,location_code,order_date,original_date,posting_date,promised_receipt_date,quantity_invoiced,quantity,really_receipt_datetime,requested_receipt_date
RA00000170,EB20/1863,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-09-30,2022-02-02,2020-10-16,2020-10-20,250,250,2020-10-15,2020-10-14
RA00000170,EB20/1863,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-06-10,2020-10-20,2020-10-16,1753-01-01,164,164,2020-10-15,1753-01-01
RA00000170,EB20/1863,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-06-10,2020-10-20,2020-10-16,1753-01-01,50,50,2020-10-15,1753-01-01
RA00000780,EB20/1793,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-09-23,2020-07-10,2020-10-16,1753-01-01,1624,1624,2020-10-15,1753-01-01
TH00000CS020,EB20/1763,Horb-Bildechingen,72160,Promod Prototypenzentr. GmbH,A-01,2020-09-21,2022-02-02,2020-10-13,2022-02-02,700,700,2020-12-10,1753-01-01
TH00000CS029,EB20/1763,Horb-Bildechingen,72160,Promod Prototypenzentr. GmbH,A-01,2020-09-21,2022-02-02,2020-10-13,2022-02-02,700,700,2020-12-10,1753-01-01
17000195,EB20/1364,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2020-03-08,2022-02-02,2020-10-21,2020-10-26,4100,4100,1753-01-01,2020-06-11
RA00000360,EB20/1310,Selb,95100,H. & M. Fraas,A-01,2020-10-19,2020-10-19,2020-10-21,2020-10-19,30000,30000,2020-10-20,2020-10-19
KU00057378,EB20/1485,Berlin,13437,Höttges,A-01,2020-08-19,2020-10-23,2020-10-21,2020-10-23,2400,2400,2020-10-20,2020-10-23
HDE0001156,EB20/0326,Bamberg,96052,Robert Bosch GmbH,A-01,2020-08-10,2020-11-13,2020-10-21,2020-10-23,1500,1500,2020-10-20,2020-10-23
02492660,EB20/1947,Wendelstein,90530,c:met GmbH,A-01,2020-09-30,2020-10-21,2020-10-21,2020-10-21,50,50,2020-10-20,2020-10-21
17200119,EB20/1613,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2020-08-09,2020-10-21,2020-10-21,2020-10-21,18300,18300,2020-10-20,2020-10-16
22000874,EB20/1544,Strausberg,15344,Hermann Römmler Kunststoff-,B-01,2020-02-09,2020-10-14,2020-10-22,2020-10-21,1000,1000,1753-01-01,2020-10-14
TF00000002,EB20/1507,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-02-10,2021-07-01,2020-10-21,2021-07-01,144000,144000,2020-10-20,2020-10-16
TF00000002,EB20/1507,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-08-09,2021-07-01,2020-10-21,2021-07-01,288000,288000,2020-10-20,2020-10-23
TF00000005,EB20/1508,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-08-09,2020-10-16,2020-10-21,2020-10-16,250000,250000,2020-10-20,2020-10-16
DMR0000003,EB20/1456,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-08-18,2020-10-26,2020-10-19,1753-01-01,80000,80000,2020-10-18,1753-01-01
M20020107,EB20/1137,Hamburg,20097,K. D. Feddersen GmbH & Co. KG,B-01,2020-04-15,2020-08-25,2020-10-22,2020-10-23,100,100,1753-01-01,2020-08-19
M20020107,EB20/1137,Hamburg,20097,K. D. Feddersen GmbH & Co. KG,B-01,2020-06-19,2020-10-23,2020-10-22,2020-10-23,50,50,1753-01-01,2020-10-23
17200130,EB20/1772,Cham,93413,Müller Präzision GmbH,A-01,2020-09-18,2020-10-22,2020-10-22,2020-10-22,25000,25000,2020-10-21,2020-10-22
PVP0492600,EB20/1652,Langenzenn,90579,Autosplice Europe GmbH,A-01,2020-09-09,2020-10-23,2020-10-22,2020-10-23,200000,200000,2020-10-21,2020-10-23
11000032,EB20/1988,Freiburg,79108,Advantek GmbH,A-01,2020-10-16,2020-10-23,2020-10-23,2020-10-23,400,400,2020-10-22,2020-10-23
RA00000340,EB20/1166,Remshalden,73630,schmid alutec gmbh & co.kg,A-01,2020-06-22,2020-12-10,2020-10-23,1753-01-01,1584,1584,2020-10-22,1753-01-01
HDE0H19002,EB20/0334,Bamberg,96052,Robert Bosch GmbH,A-01,2020-09-17,2020-07-08,2020-10-23,2020-10-23,36288,36288,2020-10-22,2020-10-23
28001609,EB20/1661,Heroldsberg,90562,Walter Schön GmbH,A-01,2020-09-09,2020-10-23,2020-10-23,2020-10-23,20000,20000,2020-10-22,2020-10-23
PVP0405439,EB20/1651,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-09-09,2020-10-23,2020-10-23,2020-10-23,10000,10000,2020-10-22,2020-10-23
NW00131049,EB20/1731,Dresden,01067,Knüppel Verpackung GmbH& Co.KG,B-01,2020-06-17,2020-06-11,2020-10-26,2020-06-11,61200,61200,1753-01-01,2020-04-11
17200124,EB20/1850,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2020-09-30,2020-10-23,2020-10-23,2020-10-23,5500,5500,2020-10-22,2020-10-23
17200124,EB20/1850,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2020-09-30,2020-10-23,2020-10-23,2020-10-23,20000,20000,2020-10-22,2020-10-23
18000032,EB20/1709,Karben,61184,SHC GmbH,A-01,2020-10-20,2020-10-23,2020-10-23,2020-10-23,1000,1000,2020-10-22,2020-10-23
00345677,EB20/1730,Berlin,10969,Gebr. Geisler GmbH,Z-DIEHL,2020-09-16,2020-10-21,2020-10-21,2020-10-21,5187,5187,2020-10-20,2020-10-21
00345655,EB20/1730,Berlin,10969,Gebr. Geisler GmbH,Z-DIEHL,2020-09-16,2020-10-21,2020-10-21,2020-10-21,5187,5187,2020-10-20,2020-10-21
KP00H0M658,EB20/2023,Stuttgart,70173,nic media GmbH Onlineshops,A-01,2020-10-21,2020-10-26,2020-10-26,2022-02-02,10,10,2020-10-25,2020-10-28
17000149,EB20/1683,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2020-10-09,2020-08-10,2020-10-27,2020-02-11,6500,6500,1753-01-01,2020-08-10
M0000006,EB20/1859,Kornwestheim,70806,Air Liquide Deutschland GmbH,B-PROD,2020-09-28,2020-05-10,2020-10-27,2020-05-10,1,1,1753-01-01,2020-05-10
17000411,EB20/2071,Karlsruhe,76227,Robert Bosch GmbH,B-01,2020-10-27,2020-10-27,2020-10-27,2020-10-27,3500,3500,1753-01-01,2020-10-27
KP00A7C001,EB20/1125,Pforzheim,75172,G. Rau GmbH & Co. KG,A-01,2020-10-06,2022-02-02,2020-10-23,2020-10-22,10000,10000,2020-10-22,2020-08-31
M0000009,EB20/2062,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-10-26,2020-10-15,2020-10-26,2020-10-27,2,2,2020-10-26,2020-10-27
S1 0-1412705-2,EB20/1802,Sinsheim,74889,Fischer GmbH & Co.KG,A-01,2020-09-23,2020-10-26,2020-10-26,2020-10-23,55000,55000,2020-10-25,2020-10-23
HDE0001156,EB20/0326,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-27,2022-02-02,2020-10-27,2020-10-27,1500,1500,2020-10-26,2020-10-27
BI00102328,EB20/1523,Bellignat,FR- 01100,AdduXi S.A.S.,B-01,2020-08-28,2020-10-30,2020-10-27,2020-10-30,960,960,1753-01-01,2020-10-30
PVP0405439,EB20/1721,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-10-23,2020-10-26,2020-10-27,2020-10-26,20000,20000,2020-10-26,2020-10-26
PVP0405439,EB20/1651,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-10-23,2020-10-26,2020-10-27,2020-10-26,10000,10000,2020-10-26,2020-10-26
PVP0405439,EB20/1651,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-10-23,2020-10-26,2020-10-27,2020-10-26,10000,10000,2020-10-26,2020-10-26
KP0064C050,EB20/2054,Odelzhausen,85235,Heinrich Schaub Stahl-,B-01,2020-10-23,2020-10-30,2020-10-28,2020-10-30,6,6,1753-01-01,2020-11-17
17000128,EB20/1516,Gütersloh,33262,Wolters GmbH,B-01,2020-08-24,2022-02-02,2020-10-28,2020-10-30,21440,21440,1753-01-01,2020-10-30
22000653,EB20/1490,Egesheim,78592,Gebrüder Dreher,B-01,2020-08-19,2022-02-02,2020-10-28,2033-03-03,857,857,1753-01-01,2020-10-14
17000125,EB20/1107,Egesheim,78592,Gebrüder Dreher,B-01,2020-09-06,2022-02-02,2020-10-28,2020-10-30,25618,25618,1753-01-01,2020-10-30
22000328,EB20/2045,Braunschweig,38122,Arrow Central Europe GmbH,B-01,2020-10-22,2022-02-02,2020-10-28,2020-10-26,5000,5000,1753-01-01,2020-10-26
17000162,EB19/1748,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2020-03-27,2020-02-10,2020-10-29,2020-10-30,2880,2880,1753-01-01,2020-10-30
17000162,EB19/1748,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2020-03-27,2020-02-10,2020-10-29,2020-10-30,696,696,1753-01-01,2020-10-30
DMR0000006,EB20/1456,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-06-07,2033-03-03,2020-10-29,2020-09-25,30000,30000,2020-10-28,2020-11-09
ZG00003070,EB20/1760,Blaichach,87542,Robert Bosch GmbH,A-01,2020-09-21,2020-10-30,2020-10-29,2020-10-30,200,200,2020-10-28,2020-10-30
27601550,EB20/1546,Wildeshausen,27779,Grashorn & Co GmbH,A-01,2020-08-27,2020-10-30,2020-10-29,2020-10-30,15000,15000,2020-10-28,2020-10-30
DK00000005,EB20/1853,Berlin,12203,Willy Neumann e. K.,B-01,2020-09-29,2020-10-27,2020-10-30,2020-10-27,690,690,1753-01-01,2020-10-27
HDE0H24001,EB20/1450,Stuttgart,70565,Trelleborg Sealing Solutions,A-01,2020-08-17,2020-10-29,2020-10-30,2020-10-29,20000,20000,2020-10-29,2020-09-10
17200145,EB20/1919,Köln,51147,Igus GmbH,A-01,2020-07-10,2020-10-30,2020-10-30,2020-10-30,25000,25000,2020-10-29,2020-10-30
HDE0H06007,EB20/1745,Kronach,96317,Horst Scholz GmbH & Co. KG,A-01,2020-10-28,2033-03-03,2020-10-30,2033-03-03,10000,10000,2020-10-29,2020-11-13
HDE0H11032,EB20/0331,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-14,2022-02-02,2020-10-30,2020-10-30,3360,3360,2020-10-29,2020-10-30
HDE0001158,EB20/0328,Bamberg,96052,Robert Bosch GmbH,A-01,2020-08-10,2022-02-02,2020-10-30,2020-10-30,1500,1500,2020-10-29,2020-10-30
HDE0001151,EB20/0321,Bamberg,96052,Robert Bosch GmbH,A-01,2020-09-29,2020-11-09,2020-10-30,2020-10-30,500,500,2020-10-29,2020-10-30
HDE0H11024,EB20/0330,Bamberg,96052,Robert Bosch GmbH,A-01,2020-09-17,2020-10-30,2020-10-30,2020-10-30,3360,3360,2020-10-29,2020-10-30
HDE0H11023,EB20/0329,Bamberg,96052,Robert Bosch GmbH,A-01,2020-09-17,2020-06-11,2020-10-30,2020-10-30,3360,3360,2020-10-29,2020-10-30
HDE0H17015,EB20/0333,Bamberg,96052,Robert Bosch GmbH,A-01,2020-02-10,2020-10-23,2020-10-30,2020-10-30,6912,6912,2020-10-29,2020-10-30
17000150,EB20/1684,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2020-10-09,2022-02-02,2020-10-29,2020-05-11,10000,10000,1753-01-01,2020-05-11
PVP0405439,EB20/1584,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-08-04,2020-10-30,2020-10-30,2020-10-30,997,997,2020-10-29,2020-09-09
PVP0405439,EB20/1584,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-08-04,2020-10-30,2020-10-30,2020-10-30,50,50,2020-10-29,2020-09-09
18000044,EB20/1909,Großpostwitz,02692,miunske GmbH,A-01,2020-06-10,2020-10-30,2020-10-30,2020-10-30,3000,3000,2020-10-29,2020-10-30
18000042,EB20/1909,Großpostwitz,02692,miunske GmbH,A-01,2020-06-10,2020-10-30,2020-10-30,2020-10-30,2000,2000,2020-10-29,2020-10-30
PN00491483,EB20/1809,Weißenstadt,95163,Raithel & Co. GmbH,B-01,2020-09-21,2020-02-11,2020-02-11,2020-02-11,5100,5100,1753-01-01,2020-02-11
MV00491619,EB20/1621,Velbert,42551,Heismann Drehtechnik,B-01,2020-09-09,2020-04-11,2020-02-11,2020-04-11,8704,8704,1753-01-01,2020-04-11
DMR0000001,EB20/1857,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-09-30,2020-11-17,2020-10-30,1753-01-01,26826,26826,2020-10-29,1753-01-01
DMR0000001,EB20/1857,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-09-30,2020-11-17,2020-10-30,1753-01-01,15000,15000,2020-10-29,1753-01-01
18200833,EB20/2014,Bad Driburg,33014,INTEG GmbH,A-01,2020-10-23,2020-06-11,2020-02-11,2020-06-11,1700,1700,2020-01-11,2020-06-11
KU00022389,EB20/1940,Melsdorf,24109,Eisenhenkel Logistik GmbH,A-01,2020-08-10,2020-11-13,2020-02-11,2020-11-13,10000,10000,2020-01-11,2020-11-13
M0000009,EB20/2116,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-02-11,2020-10-15,2020-03-11,2020-03-11,2,2,2020-02-11,2020-03-11
17200135,EB20/1773,Cham,93413,Müller Präzision GmbH,A-01,2020-09-21,2020-03-11,2020-03-11,2020-06-11,20000,20000,2020-02-11,2020-06-11
TF00000005,EB20/1508,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-08-09,2020-10-30,2020-03-11,2020-10-30,250000,250000,2020-02-11,2020-10-30
00000018,EB20/1792,München,81739,Siemens AG,Z-ESOLA,2020-09-18,2020-03-11,2020-03-11,2020-02-11,1000,1000,2020-02-11,2020-02-11
00980107,EB20/1884,Düsseldorf,40549,Three Bond GmbH,A-01,2020-02-10,2020-02-20,2020-03-11,2020-10-30,2,2,2020-02-11,2020-10-30
00980107,EB20/1905,Düsseldorf,40549,Three Bond GmbH,A-01,2020-06-10,2020-02-20,2020-03-11,2020-10-30,2,2,2020-02-11,2020-10-30
M0000001,EB20/2093,Kornwestheim,70806,Air Liquide Deutschland GmbH,B-PROD,2020-10-26,2020-02-11,2020-03-11,2020-02-11,1,1,1753-01-01,2020-02-11
17000107,EB20/0845,Pforzheim,75177,KOLEKTOR CONTTEK GmbH,B-01,2020-04-14,2022-02-02,2020-03-11,2020-03-11,10210,10210,1753-01-01,2020-10-30
NW00000500,EB20/1733,Isernhagen,30916,Nordpack GmbH,B-01,2020-09-10,2020-06-11,2020-04-11,2020-06-11,14400,14400,1753-01-01,2020-06-11
24000001,EB20/1422,Berlin,12487,Ahlberg Metalltechnik GmbH,B-01,2020-07-14,2022-02-02,2020-04-11,2022-02-02,800,800,1753-01-01,2020-03-11
24000007,EB20/1422,Berlin,12487,Ahlberg Metalltechnik GmbH,B-01,2020-07-14,2022-02-02,2020-04-11,2022-02-02,800,800,1753-01-01,2020-03-11
S1 0-1485725-5,EB20/1803,Wildau,15745,Storopack,A-01,2020-09-23,2020-10-30,2020-03-11,2020-10-30,2300,2300,2020-02-11,2020-10-16
S1 0-1485725-2,EB20/1803,Wildau,15745,Storopack,A-01,2020-09-23,2020-10-30,2020-03-11,2020-10-30,8700,8700,2020-02-11,2020-10-16
18000000,EB20/1381,Karben,61184,SHC GmbH,A-01,2019-02-14,2019-04-18,2020-04-11,1753-01-01,4500,4500,2020-03-11,1753-01-01
6 099 302 805,EB20/1950,Isernhagen,30916,Nordpack GmbH,B-01,2020-07-10,2020-04-11,2020-10-30,2020-04-11,1260,1260,1753-01-01,2020-04-11
02314403,EB20/1858,Idar-Oberstein,55743,Erik Türkis - Renouf Metalle,B-01,2020-09-17,2020-06-11,2020-04-11,2020-06-11,6,6,1753-01-01,2020-10-15
17000137,EB20/1679,Lüdenscheid,58477,Fr. Schulte,B-01,2020-10-09,2022-02-02,2020-04-11,2020-11-13,5450,5450,1753-01-01,2020-05-11
01550002,EB20/2111,Pforzheim,75179,Heimerle + Meule,B-01,2020-10-23,2022-02-02,2020-04-11,2022-02-02,250,250,1753-01-01,2020-06-11
HDE0430752,EB20/1738,Oberursel,61440,Weppler Filter GmbH,A-01,2020-09-17,2020-06-11,2020-04-11,2020-06-11,5000,5000,2020-03-11,2020-06-11
M0000140,EB20/1999,Dinslaken,46539,Mercanta Deutschland GmbH,B-01,2020-10-14,2020-06-11,2020-05-11,2020-06-11,44,44,1753-01-01,2020-04-11
17000140,EB20/1373,Lenzkirch,79853,Mesa Parts GmbH,B-01,2020-04-08,2022-02-02,2020-05-11,2020-02-11,1170,1170,1753-01-01,2020-02-11
17000218,EB20/1790,Berlin,13088,AMZ Weissenseer,B-01,2020-09-22,2022-02-02,2020-05-11,2020-02-11,2772,2772,1753-01-01,2020-02-11
17000154,EB20/1788,Pforzheim - Huchenfeld,75181,StrohhekerSchulz Stanz- und,B-01,2020-09-22,2022-02-02,2020-05-11,2020-05-11,2165,2165,1753-01-01,2020-01-12
TF00000002,EB20/1507,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-10-28,2021-07-01,2020-05-11,2020-02-11,288000,288000,2020-04-11,2020-02-11
TF00000002,EB20/1507,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-10-28,2021-07-01,2020-05-11,2020-02-11,288000,288000,2020-04-11,2020-02-11
17000131,EB20/2133,Köthen,06354,Mercateo AG,B-01,2020-03-11,2020-06-11,2020-05-11,2020-06-11,20000,20000,1753-01-01,2020-06-11
17000188,EB20/1370,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-06-11,2020-06-11,2020-06-11,3000,3000,1753-01-01,2020-06-11
17000188,EB20/1370,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-06-11,2020-06-11,2020-06-11,352,352,1753-01-01,2020-06-11
18000044,EB20/2099,Großpostwitz,02692,miunske GmbH,A-01,2020-10-29,2020-06-11,2020-06-11,2020-06-11,3000,3000,2020-05-11,2020-06-11
18201220,EB20/1837,Lüdenscheid,58511,Fischer Elektronik GmbH,A-01,2020-10-14,2020-10-20,2020-06-11,2020-10-20,150,150,2020-05-11,2020-10-14
RA00000260,EB20/1309,Stuttgart,70565,Trelleborg Sealing Solutions,A-01,2020-03-07,2020-06-11,2020-06-11,2020-06-11,40000,40000,2020-05-11,2020-06-11
00343013,EB20/1528,Zhejiang (China),CN-311201,X-MAG  INC.,A-01,2020-08-26,2020-11-13,2020-06-11,2020-11-13,250000,250000,2020-05-11,2020-11-13
HDE0H11032,EB20/0331,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-14,2022-02-02,2020-06-11,2020-06-11,3360,3360,2020-05-11,2020-06-11
HDE0001158,EB20/0328,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-14,2020-11-13,2020-06-11,2020-06-11,1500,1500,2020-05-11,2020-06-11
18201228,EB20/1887,Neunkirchen,91077,SKP Technik GmbH,A-01,2020-06-11,2020-06-11,2020-06-11,2020-06-11,160,160,2020-05-11,2020-06-11
HDE0H03448,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-06-10,2020-11-13,2020-06-11,2020-11-13,1280,1280,2020-05-11,2020-11-13
HDE0H03447,EB20/1640,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-08-09,2020-06-11,2020-06-11,2020-06-11,800,800,2020-05-11,2020-06-11
HDE0H03449,EB20/1640,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-08-09,2020-06-11,2020-06-11,2020-06-11,800,800,2020-05-11,2020-06-11
HDE0H03445,EB20/1640,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-08-09,2020-06-11,2020-06-11,2020-06-11,805,805,2020-05-11,2020-06-11
HDE0H03450,EB20/1640,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-08-09,2020-06-11,2020-06-11,2020-06-11,960,960,2020-05-11,2020-06-11
MV00491782,EB20/2033,Albstadt-Truchtelfingen,72461,Karl Küfner GmbH & Co. KG,B-01,2020-09-15,2020-10-11,2020-09-11,2020-10-11,5000,5000,1753-01-01,2020-10-11
DK00322012,EB20/1824,Berlin,12359,Germania-Werk,B-01,2020-09-29,2033-03-03,2020-09-11,2020-10-11,500,500,1753-01-01,2020-10-11
KP0064C121,EB20/1504,Lörrach,79540,NSI,B-01,2020-08-20,2022-02-02,2020-09-11,2020-10-11,13250,13250,1753-01-01,2020-11-30
WA00300887,EB20/1343,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-07-29,2020-07-10,2020-09-11,1753-01-01,1250,1250,1753-01-01,1753-01-01
NW00004365,EB20/1451,Loveresse,CH-2732,Boillat Decolletage SA,B-01,2020-12-11,2020-12-11,2020-09-11,2020-12-11,15000,15000,1753-01-01,2020-12-11
HDE0001156,EB20/0326,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-27,2020-11-20,2020-09-11,2020-10-11,1500,1500,2020-08-11,2020-04-11
TF00000005,EB20/1508,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-08-09,2020-06-11,2020-09-11,2020-06-11,250000,250000,2020-08-11,2020-06-11
00345655,EB20/1958,Berlin,10969,Gebr. Geisler GmbH,Z-DIEHL,2020-10-14,2020-11-11,2020-10-11,2020-11-11,5187,5187,2020-09-11,2020-11-11
00345677,EB20/1958,Berlin,10969,Gebr. Geisler GmbH,Z-DIEHL,2020-10-14,2020-11-11,2020-10-11,2020-11-11,5187,5187,2020-09-11,2020-11-11
17000125,EB20/1107,Egesheim,78592,Gebrüder Dreher,B-01,2020-09-06,2033-03-03,2020-10-11,2033-03-03,14382,14382,1753-01-01,2020-11-30
6 000 124 668,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-09-11,2020-09-11,2020-09-11,2020-09-11,8000,8000,1753-01-01,2020-09-11
KS00300535,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-10-26,2020-09-11,2020-09-11,2020-09-11,480,480,1753-01-01,2020-09-11
22001533,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-12-10,2020-09-11,2020-09-11,2020-09-11,13320,13320,1753-01-01,2020-09-11
WA00942962,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-10-26,2020-09-11,2020-09-11,2020-09-11,500,500,1753-01-01,2020-09-11
17000414,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-02-11,2020-09-11,2020-09-11,2020-09-11,12,12,1753-01-01,2020-09-11
WA00900102,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2019-01-16,2020-09-12,2020-09-11,2020-09-12,1,1,1753-01-01,2020-09-12
WA00736107,EB20/2206,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-10-26,2020-09-11,2020-09-11,2020-09-11,120,120,1753-01-01,2020-09-11
TF00000005,EB20/1508,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-10-28,2020-11-13,2020-10-11,2020-06-11,250000,250000,2020-09-11,2020-06-11
M0000009,EB20/2207,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-09-11,2020-10-15,2020-10-11,2020-10-11,1,1,2020-09-11,2020-10-11
18000038,EB20/2019,Großpostwitz,02692,miunske GmbH,A-01,2020-10-20,2020-11-13,2020-11-11,2020-11-13,1000,1000,2020-10-11,2020-11-13
18000044,EB20/2176,Großpostwitz,02692,miunske GmbH,A-01,2020-04-11,2020-11-13,2020-11-11,2020-11-13,3000,3000,2020-10-11,2020-11-13
DK00290022,EB20/1824,Berlin,12359,Germania-Werk,B-01,2020-09-29,2033-03-03,2020-11-11,2020-11-11,635,635,1753-01-01,2020-10-11
M20020357,EB20/2243,Berlin,10713,Albis Distribution GmbH & Co. KG,B-01,2020-11-11,2020-11-11,2020-11-11,2020-11-11,25,25,1753-01-01,2020-11-11
17200142,EB20/2027,Sömmerda,99610,Püplichhuisen Kabeltechnik Gmb,A-01,2020-10-21,2020-11-13,2020-12-11,2020-11-13,25000,25000,2020-11-11,2020-11-13
HDE0H39001,EB20/1881,Oberursel,61440,Weppler Filter GmbH,A-01,2020-01-10,2020-11-13,2020-12-11,2020-11-13,10000,10000,2020-11-11,2020-11-13
DMR0000024,EB20/2090,Balve,58802,Balver Zinn,A-01,2020-06-11,2020-11-20,2020-12-11,2020-11-20,10,10,2020-11-11,2020-11-20
MV00409230,EB20/1829,Blomberg,32825,SynFlex Elektro GmbH,B-01,2020-09-17,2020-12-11,2020-12-11,2020-12-11,483,483,1753-01-01,2020-12-11
17000206,EB20/1674,Egesheim,78592,Gebrüder Dreher,B-01,2020-10-09,2020-11-11,2020-12-11,2020-12-11,1410,1410,1753-01-01,2020-11-11
HDE0004011,EB20/2198,Hamburg,20097,K. D. Feddersen GmbH & Co. KG,A-01,2020-05-11,2020-11-13,2020-12-11,2020-11-13,100,100,2020-11-11,2020-11-13
ZG00003066,EB20/1481,Blaichach,87542,Robert Bosch GmbH,A-01,2020-08-19,2020-11-13,2020-12-11,2020-11-13,1300,1300,2020-11-11,2020-11-13
DMR0000001,EB20/1857,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-09-30,2020-11-17,2020-12-11,1753-01-01,35000,35000,2020-11-11,1753-01-01
RA00000340,EB20/1166,Remshalden,73630,schmid alutec gmbh & co.kg,A-01,2020-04-15,2022-02-02,2020-12-11,2020-11-13,720,720,2020-11-11,2020-05-08
KU00043356,EB20/1761,Strausberg,15344,Hermann Römmler Kunststoff-,A-01,2020-09-10,2020-11-13,2020-11-13,2020-11-13,3400,3400,2020-12-11,2020-06-11
HDE0H03444,EB20/1747,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-09-17,2020-11-13,2020-12-11,2020-11-13,644,644,2020-11-11,2020-11-13
HDE0H03446,EB20/1747,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-09-17,2020-11-13,2020-12-11,2020-11-13,644,644,2020-11-11,2020-11-13
HDE0H03451,EB20/1747,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-09-17,2020-11-13,2020-12-11,2020-11-13,636,636,2020-11-11,2020-11-13
HDE0H03448,EB20/1640,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-08-09,2020-06-11,2020-12-11,2020-06-11,160,160,2020-11-11,2020-06-11
HDE0H03340,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-06-10,2020-11-13,2020-12-11,2020-11-13,652,652,2020-11-11,2020-11-13
HDE0H03343,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-06-10,2020-11-13,2020-12-11,2020-11-13,810,810,2020-11-11,2020-11-13
HDE0H03345,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-04-09,2020-11-13,2020-12-11,2020-11-13,161,161,2020-11-11,2020-11-13
HDE0H03346,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-04-09,2020-11-13,2020-12-11,2020-11-13,644,644,2020-11-11,2020-11-13
17000100,EB20/1488,München,80687,Mouser Electronics,B-01,2020-08-24,2022-02-02,2020-11-13,2020-11-11,10000,10000,1753-01-01,2020-11-16
HDE0H03347,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-06-10,2020-11-13,2020-12-11,2020-11-13,800,800,2020-11-11,2020-11-13
HDE0H03350,EB20/1902,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-06-10,2020-11-13,2020-12-11,2020-11-13,800,800,2020-11-11,2020-11-13
