provider_no,city,last_date_modified,location_code,post_code,search_name
K02004,Plan-les Outes,2020-02-21,A-01,CH-1228,G-SERVICE S.A.
K02014,Berlin,2022-01-27,A-01,12829,SMC BERLIN
K02015,Langenfeld,2020-02-21,A-01,40764,ACE
K02016,Henningsdorf b. Berlin,2020-02-21,A-01,16761,POHL
K02018,Berlin,2020-02-21,A-01,10117,DIS
K02020,Konstanz,2020-02-21,A-01,78467,INGUN
K02021,Berlin,2020-02-21,A-01,12277,KLATT
K02028,Frankfurt,2021-04-29,A-01,60327,RS COMPONENTS
K02033,Eschborn/Ts.,2020-02-21,A-01,65731,MANAGEMENT CIRCLE
K02036,Stuttgart,2020-02-21,A-01,70435,PANALPINA WELTTRANSPORT GMBH
K02037,Berlin,2020-02-21,A-01,13629,TYCO BERLIN
K02041,Stuttgart,2020-01-25,A-01,70442,BOSCH REXROTH AG
K02049,Berlin,2020-02-21,A-01,12277,NEUENDORF
K02052,Berlin,2021-08-07,A-01,12203,WILLY NEUMANN E. K.
K02055,Leipzig,2021-07-27,A-01,04356,BOSCH REXROTH AG
K02060,Neufahrn,2020-02-21,A-01,85374,OFFICE DISCOUNT
K02062,Hamburg,2020-02-21,A-01,22771,OTTO OFFICE
K02064,Darmstadt,2021-02-22,A-01,64293,HOTTINGER BALDWIN HBM
K02068,Wurzen,2020-02-21,A-01,04808,FILZFABRIK WURZEN
K02074,Alpen,2020-02-21,A-01,46519,NORGREN
K02082,Herrenberg,2020-02-21,A-01,71083,FEINMETALL
K02092,Duisburg,2020-02-21,A-01,47051,BÄR
K02097,Fridingen,2020-02-21,A-01,78567,HEINZ STEGMEIER HS HEIZELEMENT
K02103,Berlin,2020-01-25,B-01,13509,HWL
K02105,Stahnsdorf,2020-02-21,A-01,14532,FEMO
K02111,Velten,2020-02-21,A-01,16727,JUNGHEINRICH VERTRIEB
K02113,München,2020-02-21,A-01,80009,GWI
K02119,Hamburg,2020-02-21,A-01,22457,FORTEC
K02120,Hagen,2020-02-21,A-01,58082,WESTFALIA
K02122,München,2020-02-21,A-01,81379,KLÜBER
K02125,Weiden,2020-02-21,A-01,92631,PHILA
K02130,Oberhaching,2020-02-21,A-01,82041,BÜRKLIN OHG MÜNCHEN
K02141,Berlin,2020-02-21,A-01,13509,ENGLERT
K02147,Poing,2021-05-21,A-01,85586,AVNET EMG GMBH
K02148,Berlin,2020-02-21,A-01,12165,AVNET TIME/ BETRONIK
K02149,Berlin,2020-02-21,A-01,13629,SASCO BERLIN/ARROW
K02152,Bremen,2020-12-14,A-01,28359,DISTRELEC
K02161,Berlin,2020-02-21,A-01,13407,HAKO
K02167,Düsseldorf,2020-02-21,A-01,40549,SICK VERTRIEBS-GMBH
K02169,Berlin,2021-10-27,A-01,12103,GEMMEL
K02173,Fridingen,2020-02-21,A-01,78567,HEINZ STEGMEIER HS HEIZELEM.
K02177,Potsdam,2020-02-21,A-01,14471,RKW BRANDENBURG
K02194,Lenzkirch,2020-02-21,A-01,79853,TESTO
K02197,Berlin,2020-02-21,A-01,12277,GKFORMBLECH
K02215,Berlin,2020-08-19,A-01,10559,SANIMED/MEDKA/HENRY SCHEIN
K02230,Darmstadt,2020-02-21,A-01,64293,TYCO DARMSTADT TE CONNECTIVITY
K02238,Berlin,2020-08-25,A-01,12489,LEBIT
K02243,Pforzheim,2020-02-21,A-01,75181,DODUCO
K02245,Stahnsdorf,2020-02-21,A-01,14532,ANDREAS MAUERSBERGER
K02269,Ludwigsburg,2021-11-23,A-01,71636,HAHN&KOLB HAHN+KOLB
K02281,Schweinfurt,2020-02-21,A-01,97421,SKF
K02318,Göttingen,2020-01-25,A-01,37008,MAHR
K02332,Sande,2020-01-25,A-01,26452,REICHELT ELEKTRONIK
K02334,Huttwil,2020-02-21,A-01,CH-4950,AFAG
K02340,Kühlsheim-Steinbach,2020-02-21,A-01,97900,OßWALD
K02344,Egelsbach,2020-02-21,A-01,63329,"BRADY GMBH, SETON DIVISION"
K02350,Potsdam,2021-10-20,A-01,14467,REISEBÜRO OLYMPIA
K02351,Neunkirchen,2020-02-21,A-01,57276,LEOPOLD SCHÄFER
K02352,München,2020-04-02,A-01,81739,SIEMENS EDELMETALL CSCM
K02353,Teltow,2020-02-21,A-01,14505,STADTVERWALTUNG TELTOW
K02354,Berlin,2020-02-21,A-01,10587,STRATO AG
K02355,Rüdersdorf,2020-02-21,A-01,15562,DHL RÜDERSDORF/BÖRNICKE
K02356,Teltow,2020-02-21,A-01,14513,ELEKTROCOM
K02357,Köln,2020-02-21,A-01,51072,EMONS KÖLN
K02358,Potsdam,2020-02-21,A-01,14482,ESTO
K02366,Teltow,2020-02-21,A-01,14513,TTT /  ERNST WISSER
K02368,Hamburg,2021-10-20,A-01,20004,WER LIEFERT WAS
K02376,Werneuchen,2021-06-23,A-01,16356,SCHARNAU
K02377,Neckarsulm,2020-02-21,A-01,74148,BÖRSIG
K02380,Berlin,2020-02-21,A-01,10117,KIETZMANN
K02384,Teltow,2020-02-21,A-01,14513,POWERTRON GMBH
K02385,Potsdam,2020-02-21,A-01,14478,HAVEL ALLTREU STEUER-
K02386,Teltow,2021-10-20,A-01,14513,ALLROUND REINIGUNGSSERVICE
K02387,Berlin,2021-10-20,A-01,10707,DORN
K02388,Frankfurt (Oder),2020-02-21,A-01,15229,"RG   TELEKOM, T-SYSTEMS"
K02389,Berlin,2020-02-21,A-01,13629,REFA VERBAND FÜR ARBEITS-
K02390,Potsdam,2020-02-21,A-01,14437,FINANZAMT POTSDAM
K02391,Berlin,2021-10-20,A-01,12351,VW E. WINTER JOHANNISTHALER
K02393,Darmstadt,2020-02-21,A-01,64276,REFA DARMSTADT
K02394,Sinsheim,2021-04-08,A-01,74889,HEIN INDUSTRIESCHILDER GMBH
K02396,Berlin,2020-02-21,A-01,12207,BANDELIN ELECTRONIC
K02399,Stralsund,2020-02-21,A-01,18437,TA TRIUMPH-ADLER
K02400,Potsdam,2021-10-20,A-01,14478,CLEANTEX
K02401,Gersthofen,2021-08-10,A-01,86358,MAIR SPEDITION & LOGISTIK GMBH
K02404,Neuenstein,2020-02-21,A-01,36286,GLS GENERAL LOGISTICS
K02405,Oostkamp,2021-10-20,A-01,BE-8020,TYCO OOSTKAMP
K02407,Eslarn,2020-02-21,A-01,92693,BAS KUNSTSTOFFVERARBEITUNG
K02409,Altrip,2020-02-21,A-01,67122,MUCAMBO
K02410,Berlin,2020-02-21,A-01,14167,UBITEC
K02413,Hamburg,2020-01-25,A-01,21109,RÄDER VOGEL GMBH & CO. KG
K02416,Teltow,2021-10-20,A-01,14513,PRAKTIKER BAUMARKT
K02417,Potsdam,2021-10-20,A-01,14480,GERMAN/GPS/GRAFIK.DRUCK.SATZ
K02421,Dresden,2020-02-21,A-01,01109,LEYBOLD VAKUUM GMBH
K02425,Nürnberg,2021-10-20,A-01,90429,SUSE
K02427,Schönefeld,2020-02-21,A-01,12529,DACHSER SCHÖNEFELD
K02431,Aarbergen,2020-02-21,A-01,65326,BETA LAYOUT GMBH
K02432,Wuppertal,2020-02-21,A-01,42327,STOCKO-CONTACT
K02435,Groß-Bieberau,2020-02-21,A-01,64398,HACH GROß-BIEBERAU
K02436,Schramberg,2020-02-21,A-01,78713,CURS/SYNFLEX
K02437,Offenbach,2020-01-25,A-01,63019,BODO MÖLLER
K02438,Nettetal,2020-02-21,A-01,41334,POLYDRAACK
K02439,Neustadt,2020-02-21,A-01,01844,MWQ GMBH LABOR TRESCAL
K02440,Berlin,2021-05-19,A-01,10553,GRAUEL
K02446,Ahrensfelde,2021-01-04,A-01,16356,IGEFA
K02447,Wiernsheim,2021-10-20,A-01,75446,MAISCH SPEDITION+ LOGISTIK
K02448,Stahnsdorf,2020-02-21,A-01,14532,GETRÄNKE KRUSCHKE GBR
K02449,Prien,2021-10-15,A-01,83209,GEORG SUMMERER
K02450,Mahlow,2020-02-21,A-01,15831,LANDFLEISCHEREI BENDIG GMBH
K02451,Brandenburg,2020-02-21,A-01,14770,LANDESJUSTIZKASSE BRANDENBG
K02452,Potsdam,2020-02-21,A-01,14467,INTERTEMP
K02456,Köln,2020-02-21,A-01,50968,LEYBOLD GMBH
K02458,Kevelaer,2020-02-21,A-01,47626,UWS UMWELTMANAGEMENT GMBH
K02459,Berlin,2020-02-21,A-01,10587,AXA COLONIA VERSICHERUNG AG
K02463,Lahr,2021-10-20,A-01,77933,SCHNEIDER ELECTRIC/ BERGERLAHR
K02464,Berlin,2020-02-21,A-01,12349,L. SCHULTE & CO. GMBH
K02466,Potsdam,2020-02-21,A-01,14467,AMTSGERICHT POTSDAM
K02467,Bamberg,2020-02-21,A-01,96055,WIRTSCHAFTSWOCHE
K02469,Kleinmachnow,2021-10-20,A-01,14532,NATURA FACHBUCHHANDEL
K02470,Berlin,2020-02-21,A-01,14165,VHV VERSICHERUNG
K02474,Großpostwitz,2020-01-25,A-01,02692,FTM MIUNSKE
K02476,Ludwigsfelde,2020-02-21,A-01,14974,HARALD MÜLLER METALL
K02477,Berlin,2020-02-21,A-01,12249,NORBERT ZACK
K02478,Teltow,2020-02-21,A-01,14513,MÖBEL- & KÜCHENHAUS TELTOW
K02480,Teltow,2021-10-20,A-01,14513,REISEDIENST SCHMIDT
K02482,Blankenfelde-Mahlow,2020-02-21,A-01,15831,"MEWA GMBH,  NEU: K04853"
K02486,Berlin,2020-02-21,A-01,12103,TÜV PRODUKT S. BLN MAGIRUSSTR.
K02491,Ludwigshafen,2022-01-25,A-01,67071,"TAMPOMARK GMBH, GRULMS"
K02495,Berlin,2020-02-21,A-01,10117,JOBS IN TIME BERLIN GMBH
K02500,Berlin,2020-02-21,A-01,12099,STADTBOTE GMBH
K02502,Ragow,2021-10-21,A-01,15749,HERRN MATTHIAS KROEKER
K02505,Kornwestheim,2020-02-21,A-01,70806,UNTERKOFLER FILTERTECHNIK GMBH
K02510,Berlin,2020-02-21,A-01,13581,CONTAG
K02514,München,2021-10-21,A-01,80636,FRAUNHOFER-GESELLSCHAFT ZV
K02517,Lohne,2020-02-21,A-01,49393,PÖPPELMANN GMBH & CO. KG
K02524,Berlin,2020-02-21,A-01,12305,KAELTRO ENERGIEANLAGEN GMBH
K02530,Chicago U.S.A.,2020-02-21,A-01,US-60675-5330,UL UNDERWRITERS LABORATORIES
K02531,Teltow,2020-02-21,A-01,14513,REICHELT SICHERHEITSTECHNIK
K02533,Berlin,2020-02-21,A-01,12681,HMP
K02534,Teltow,2020-02-21,A-01,14513,UNGER
K02539,Bonn,2021-08-25,A-01,53095,VNR VERLAG FÜR DIE
K02541,Berlin,2020-02-21,A-01,12277,EBV BERLIN
K02549,Pforzheim,2020-04-02,B-01,75179,HEIMERLE + MEULE
K02550,Teltow,2020-02-21,A-01,14513,SARTORIUS AG
K02552,Göttingen,2020-02-21,A-01,37079,SARTORIUS L. I. GMBH & CO. KG
K02553,Berlin,2020-02-21,A-01,12357,PURSCHKE + HENSEL GMBH
K02556,EG Arnhem,2020-02-21,A-01,NL-6802,UNDERWRITERS LABORATORIES INC.
K02557,Rheine,2020-02-21,A-01,48407,KTR KUPPLUNGSTECHNIK GMBH
K02559,Köln,2021-08-09,A-01,50441,DHL EXPRESS GERMANY GMBH
K02560,Teltow,2020-02-21,A-01,14513,CITY-PRESS
K02561,Haar,2020-02-21,A-01,85540,UNIMATE
K02562,Berlin,2020-02-21,A-01,10559,ALTMETALLE WASDRACK
K02563,Berlin,2020-02-21,A-01,14193,EDLER INDUSTRIEVERTRETUNGEN
K02565,Berlin,2020-02-21,A-01,10435,MOEDEL
K02567,Berlin,2020-02-21,A-01,10553,SASCO SEMICONDUCTOR/ARROW
K02568,Dortmund,2020-02-21,A-01,44309,MURTFELDT KUNSTSTOFFE
K02569,Stahnsdorf,2020-02-21,A-01,14532,FISCHER LUFT UND UMWELT-
K02570,Amberg,2020-02-14,A-01,92224,"SYSKOMP GMBH, EMICO"
K02572,Berlin,2020-02-21,A-01,12435,ALLIANZ LEBENSVERSICHERUNG AG
K02573,Putzbrunn,2020-02-21,A-01,85640,SASCO/PUTZBRUNN
K02575,Berlin,2020-02-21,A-01,12681,AHC BERLIN
K02576,Krefeld,2020-02-21,A-01,47803,FINCK
K02577,Bornheim,2020-02-21,A-01,55237,BARTSCH
K02578,Teltow,2020-02-21,A-01,14513,AVT AUSBILDUNGSVERBUND
K02586,Hamburg,2020-02-21,A-01,22365,ALSTERTALER SCHRAUBEN
K02587,Nürnberg,2020-02-21,A-01,90443,SUSE GMBH
K02589,VS-Schwenningen,2020-02-21,A-01,78056,DEUTSCHE PAKET DIENST
K02590,Wedel,2020-02-21,A-01,22877,SCHNEIDER GMBH & CO KG
K02591,Berlin,2020-01-25,A-01,10439,AMMERAAL BELTECH GMBH
K02592,Aschaffenburg,2020-02-21,A-01,63739,RECOM METALLGESELLSCHAFT MBH
K02593,Geesthacht,2021-10-18,A-01,21502,AMMERAAL RG
K02594,Stahnsdorf,2020-02-21,A-01,14532,CONTAINERDIENST SCHULZ GMBH
K02596,Berlin,2020-02-21,A-01,10965,ZOLLZAHLSTELLE BERLIN SÜD
K02597,Luckenwalde,2020-02-21,A-01,14943,HESCO
K02598,Potsdam,2020-02-21,A-01,14473,ZUKUNFTS AGENTUR BRANDENBURG
K02599,Falkensee,2020-02-21,A-01,14612,INJA
K02600,Dresden,2020-02-21,A-01,01237,SAM PRODUCTION  GMBH
K02601,Neuss,2021-11-30,A-01,41456,UPS NEUSS
K02602,Berlin,2020-02-21,A-01,13597,LMB LÖTHER MASCHINENTRANSPORT
K02603,Pfreimd,2020-02-21,A-01,92536,WILDEN
K02604,Kreuztal,2020-02-21,A-01,57213,EOS WIRTSCHAFTS-VERLAG AG
K02605,Teltow,2020-02-21,A-01,14513,STUSCHE
K02606,Zhejiang (China),2020-01-25,A-01,CN-311201,"X-MAG, INC."
K02607,Berlin,2020-02-21,A-01,14167,GÜTTLER
K02608,Nürnberg,2020-02-21,A-01,90431,SCHMID
K02609,Berlin,2020-02-21,A-01,12107,ZETTLER ELECTRONICS GMBH
K02610,Teltow,2020-02-21,A-01,14513,LMB DIETER LESZINSKI
K02611,Berlin,2020-02-21,A-01,10178,ITALIENISCHE HANDELSKAMMER FÜR
K02612,Berlin,2020-02-21,A-01,14165,DIE ALTERNATIVE
K02613,Düsseldorf,2020-02-21,A-01,40002,VDI-WISSENSFORUM GMBH
K02615,Ludwigsfelde,2020-02-21,A-01,14974,HAUPTZOLLAMT POTSDAM
K02616,Waldbröl,2020-02-21,A-01,51536,PRO FUTURA GMBH
K02617,Berlin,2020-02-21,A-01,10553,SPOERLE/ ARROW BERLIN
K02619,Dresden,2020-02-21,A-01,01237,HEINE RESISTORS GMBH
K02620,Mettmann,2020-02-21,A-01,40810,DV DEUTSCHE VERTRIEBSBERATUNG
K02621,Karlsruhe,2020-02-21,A-01,76110,"DT. POST,  ZOLL KARLSRUHE"
K02624,Essen,2020-02-21,A-01,45128,BUREAU VERITAS
K02625,München,2020-02-21,A-01,80809,FIDICON CONSULT AG
K02626,Berlin,2020-02-21,A-01,10711,FIDICON CONSULT GMBH
K02627,Bad Belzig,2020-02-21,A-01,14806,DER LANDRAT
K02628,Niemegk,2020-02-21,A-01,14823,APM ABFALLWIRTSCHAFT
K02629,Sancoins,2020-02-21,A-01,FR-18600,RONIS SAS
K02630,Dubendorf,2020-02-21,A-01,CH-8600,COLLINI-FLUHMANN AG
K02631,Keltern-Niebelsbach,2020-02-21,A-01,75210,PROFILTECH GMBH
K02633,AS Almere,2020-02-21,A-01,NL-1322,TEVEMA AMSTERDAM B.V.
K02635,Bad Marienberg,2020-02-21,A-01,56470,RÜBSAMEN
K02636,Zaisenhausen,2020-02-21,A-01,75059,PRINZ
K02637,Oudenaarde,2020-02-21,A-01,BE-9700,PEDEO
K02638,Kleinmachnow,2020-02-21,A-01,14532,KNUT KRÜGER
K02639,Kleinmachnow,2020-02-21,A-01,14532,NH HOTEL
K02640,Meulebeke,2020-02-21,A-01,BE-8760,VITALO/M-INDUSTRIES
K02641,Brandenburg,2020-02-21,A-01,14772,WIBBERENZ
K02642,Berlin,2020-02-21,A-01,13629,EPROXX/ SIEMENS BUILDING
K02643,Bariano BG,2020-02-21,A-01,IT-24050,ERBORISTERIA FORLANI
K02644,Rielasingen,2020-02-21,A-01,78239,IM-TRANSPORTE S. MICHELS
K02645,Birkenheide,2020-02-21,A-01,67134,RUSCHIN GMBH
K02646,Berlin,2020-02-21,A-01,13349,PACKHÄUSER
K02647,Ratingen,2020-02-21,A-01,40880,SARTORIUS NACHF. GMBH & CO
K02648,Oberursel,2020-02-21,A-01,61440,QMC
K02649,Hamburg,2020-02-21,A-01,22525,WERNER WIRTH
K02650,Chemnitz,2020-01-25,B-01,09126,BANDSTAHL SCHLAG
K02651,Idar-Oberstein,2020-01-25,B-01,55743,ERIK TÜRKIS - RENOUF METALLE
K02652,Milano,2021-10-22,A-01,IT-20142,FITRE
K02654,Kuchen,2020-02-21,A-01,73327,MENZEL
K02657,Berlin,2020-02-21,A-01,12099,DREUSICKE
K02659,Hamburg,2021-10-22,A-01,22335,NIPPON EXPRESS
K02665,Mainz,2020-02-21,A-01,55124,ANALOG MICROELECTRONICS GMBH
K02666,Berlin,2020-02-21,A-01,12116,MERTENS
K02669,Sint-Baafs-Vijve,2020-02-21,A-01,BE-8710,LEFEVERE-BEEL N.V.
K02671,Wächtersbach / Hessen,2020-02-21,A-01,63607,KREMER GMBH
K02672,Sulz-Renfrizhausen,2021-10-22,A-01,72172,DREHER
K02675,Wendelstein,2020-02-21,A-01,90530,IBE ZINN-U. LÖTPRODUKTE E.K.
K02678,Augsburg,2020-02-21,A-01,86199,VON ROLL
K02679,Kleinmachnow,2020-02-21,A-01,14532,KLIEM
K02682,Tielt,2020-02-21,A-01,BE-8700,INJEXTRU
K02683,Harelbeke,2020-02-21,A-01,BE-8530,ALLBOX
K02684,Beelitz,2020-02-21,A-01,14547,UNI BAU UNVERRICHT
K02686,Neukirchen-Vluyn,2020-01-25,A-01,47506,HSR GMBH
K02688,Hemer,2020-01-25,A-01,58675,SCHLEICH GMBH
K02690,Bedburg,2020-01-25,A-01,50181,TECUM
K02693,Potsdam,2020-02-21,A-01,14482,BLINDENHILFSWERK
K02697,"Ashington, West Sussex",2020-02-21,A-01,GB-RH20 3DJ,"TN UNITED KINGDOM, LTD."
K02699,Berlin,2020-01-25,A-01,12487,AHLBERG M/ BANHOLZER
K02701,Berlin,2020-02-21,A-01,10787,GLOBALNORM
K02703,Teufenthal,2020-02-21,A-01,CH-5723,INJECTA DRUCKGUSS AG
K02707,Bad Oeynhausen,2020-02-21,A-01,32549,DENIOS AG
K02709,Wuppertal,2021-10-22,A-01,42327,STOKVIS TAPES
K02710,Berlin (Britz),2021-10-22,A-01,12359,SKS SPEZIAL-KABEL-S
K02711,Freiburg,2020-02-21,A-01,79112,KNF NEUBERGER
K02712,Düsseldorf,2020-02-21,A-01,40530,SICK AG
K02713,Hattingen,2020-02-21,A-01,45527,HANS SCHÖN
K02714,Hamburg,2020-02-21,A-01,21033,BLOHM
K02716,Viersen,2020-02-21,A-01,41748,EDEN SPRINGS
K02718,Seddiner See,2020-02-21,A-01,14554,DÜVIER
K02719,München-Allach,2020-02-21,A-01,80999,HASCH GMBH
K02721,Berlin,2020-02-21,A-01,10997,RESCHKE
K02722,Potsdam,2021-10-22,A-01,14469,GAMNITZER
K02723,Biebergemünd,2020-01-25,B-01,63599,ENGELBERT STRAUSS GMBH & CO.KG
K02725,Mannheim,2020-09-11,B-01,68199,ISODRAHT GMBH
K02726,Heidelberg,2020-02-21,A-01,69039,SCHMITTHELM
K02727,Deizisau,2020-01-25,B-01,73779,HALA
K02728,Egesheim,2020-01-25,B-01,78592,DREHER
K02729,Schrobenhausen,2020-08-27,B-01,86529,DAMERIUS
K02731,Cleebronn,2020-02-21,A-01,74389,BEUTTNER
K02732,Niefern-Oeschelbronn,2020-02-21,A-01,75233,HERDER
K02733,Oberkirch,2020-01-25,B-01,77697,PWO
K02734,Pforzheim,2021-04-05,B-01,75172,G.RAU
K02735,Reutlingen,2020-02-21,A-01,72764,SIDEO/ VOGT
K02736,Herscheid,2020-02-21,A-01,58846,TECKENTRUP
K02737,Geldern,2021-04-15,A-01,47608,VULKANFIBER-FABRIK
K02738,Plettenberg,2020-02-21,A-01,58840,LUMBERG
K02739,Unterensingen,2021-03-29,B-01,72669,ST STANZTECHNIK
K02740,Hagen,2020-01-25,B-01,58091,GEVAG
K02743,Eltville,2020-02-21,A-01,65337,OTTO
K02746,Wildberg,2020-01-07,A-01,72218,WÖHRLE
K02747,Pfullingen,2020-07-09,A-01,72793,PRETTL GMBH
K02748,Nürnberg,2020-02-21,A-01,90427,SSF - VERBINDUNGSTEILE GMBH
K02749,Hamburg,2021-04-30,A-01,21079,REHAU
K02750,Mengen,2020-02-19,B-01,88512,SCHLÖSSER GMBH & CO. KG
K02751,Pforzheim,2020-04-14,B-01,75177,CONTTEK/ STEUDLE
K02752,Wackersdorf,2020-02-21,A-01,92442,ISOVOLTA GATEX
K02753,Plettenberg,2020-02-21,A-01,58840,WINKEMANN
K02754,Bramsche,2020-02-21,A-01,49552,LACROIX
K02756,Gütersloh,2020-01-25,B-01,33262,WOLTERS
K02757,Schwabach,2020-01-25,B-01,91102,BREMA
K02759,Moheda,2021-10-22,A-01,SE-34036,FINNVEDEN POWERTRAIN AB
K02761,Lüdenscheid,2021-09-16,A-01,58513,SCHRIEVER
K02762,Lenzkirch,2020-01-25,B-01,79853,MESA
K02763,Leimen,2020-02-21,A-01,69169,HOMACO
K02764,Oberkirch,2020-02-21,A-01,77704,ERNST UMFORMTECHNIK
K02765,Ispringen,2020-01-25,B-01,75110,NESPER
K02766,Monte Marenzo,2020-02-21,A-01,IT-23804,FOMMA
K02767,Hanau,2020-02-21,A-01,63456,BENN
K02768,Nürnberg,2020-02-21,A-01,90441,THYSSEN
K02769,Schwabach,2021-04-08,B-01,91126,W+L DEUTSCHE TECHNOPLAST
K02770,Neustadt,2020-02-21,A-01,96456,DIETZ GMBH
K02771,Herzogenaurach,2021-02-22,B-01,91074,FRÖHLICH
K02773,Iserlohn,2020-01-25,B-01,58642,ITW FASTENER/SHAKEPROOF
K02774,Aalen,2020-01-25,B-01,73434,TELENOT ELECTRONIC GMBH
K02775,Memmingen,2021-10-22,B-01,87700,PFEIFER
K02778,Hagen,2020-01-25,B-01,58089,PLOCK
K02779,Eckental-Brand,2020-02-21,A-01,90542,SFS KERLING GMBH
K02780,Pforzheim - Huchenfeld,2021-09-24,B-01,75181,SCHULZ STANZ- U.UMFORMTECHNIK
K02781,Wuppertal,2020-02-21,A-01,42220,WITTE
K02782,Compiegne Cedex,2020-02-21,A-01,FR-60200,ESSEX / NEXANS
K02783,Haiterbach,2020-02-21,A-01,72221,MAYER KARTONAGEN
K02785,Filderstadt,2020-11-27,A-01,70794,HERMA
K02786,Donauwörth,2021-07-05,A-01,86609,DS SMITH PACKAGING EX SCA
K02789,Holzgerlingen,2020-01-25,A-01,71088,STRAPEX
K02791,Friesenheim,2021-12-16,A-01,77948,FS ETIKETTEN GMBH
K02793,Ehningen,2020-01-25,B-01,71139,CCL DESIGN |WÖLCO
K02795,Hanau,2020-02-21,A-01,63450,HERAEUS HANAU
K02796,Potsdam,2020-02-21,A-01,14478,UV BRANDENBURG-BERLIN E.V.
K02800,Wuppertal,2021-10-22,A-01,42283,STANNOL
K02801,Lübeck,2020-02-21,A-01,23556,GUMMIFABRIK LUBECA
K02804,Nürnberg,2021-09-15,B-01,90441,BOSCH NÜRNBERG GASOLINE
K02806,Klingenthal,2020-08-19,A-01,08248,S+S S&S ELECTRONIC GMBH
K02807,Großmaischeid,2020-02-21,A-01,56276,KULLIK
K02808,Berlin,2021-10-22,A-01,10711,PISCHEL
K02809,Lauf a. d. Pegnitz,2020-05-02,A-01,91207,BATAL PRÄZISIONSWELLEN GMBH
K02811,Genk,2020-02-21,A-01,BE-3600,GL TECHNICS/ EVOLUTION IN MACH
K02815,Stahnsdorf,2020-02-21,A-01,14532,HSR GMBH STAHNSDORF
K02816,Velbert,2021-10-22,A-01,42551,G+M SYSTEMTECHNIK
K02817,Coburg,2020-02-21,A-01,96450,GAUDLITZ GMBH
K02818,Markdorf,2020-02-21,A-01,88677,HÖHNLE
K02819,Oberdorf,2020-02-21,A-01,CH-4436,M. SCHNEIDER HEGI AG
K02820,Birkenfeld,2020-02-21,A-01,75217,WILLIAM PRYM HOLDING GMBH
K02821,Idar-Oberstein,2020-02-21,A-01,55743,BECHTHOLD
K02824,Radevomwald,2020-02-21,A-01,42477,RADERPLAST
K02826,Schnaittach,2020-02-21,A-01,91220,CLEVER SYSTEMTECHNIK GMBH
K02827,Berlin,2020-02-21,A-01,12459,DEXION GMBH
K02828,Rödermark,2020-02-21,A-01,63322,KUDERNAK GMBH
K02830,Brieselang,2020-02-21,A-01,14656,OTEK
K02831,Norderstedt,2020-02-21,A-01,22844,STIELOW
K02851,Selb,2020-02-21,A-01,95100,VISHAY
K02852,Hamburg,2020-02-21,A-01,22771,PHILIPS SEMICONDUCTORS GMBH
K02859,Essen,2020-02-21,A-01,45128,TELEFUNKEN ELECTRONIC GMBH
K02860,Heilbronn,2020-02-21,A-01,74072,TEMIC TELEFUNKEN
K02862,Heide,2020-02-21,A-01,25746,VISHAY BCCOMPONENTS
K02863,Maintal,2020-02-21,A-01,63477,HELMUT FRITZ GMBH
K02865,München,2020-02-21,A-01,81927,GENERAL INSTRUMENT
K02867,Ispringen,2020-01-25,B-01,75228,RUTRONIK
K02868,Bensheim,2020-02-21,A-01,64625,HTV GMBH
K02870,Bielefeld,2020-02-21,A-01,33649,WILHELM BOELLHOFF GMBH
K02871,Velbert,2020-02-21,A-01,42553,BRUMA
K02873,Finnentrop,2020-02-21,A-01,57413,GEBR. HOLLWEG
K02876,Frankfurt,2021-10-22,A-01,60488,ABB AUTOMATION PRODUCTS GMBH
K02880,Frankfurt,2021-10-22,A-01,65933,JUST & CO. INDUSTRIEBEDARF
K02892,Buch,2021-10-22,A-01,89290,RATTPACK GRUPPE
K02895,Heiligenhaus,2020-02-21,A-01,42579,B & B LEITERPLATTENTECHN
K02897,Duisburg,2020-02-21,A-01,47269,KARL PÜPLICHHUISEN KG
K02900,Wuppertal,2020-02-21,A-01,42369,DRAKA DEUTSCHLAND GMBH
K02902,Leonberg,2021-10-22,A-01,71229,AXON' KABEL GMBH
K02909,Braunschweig,2020-02-21,A-01,38122,SETRON GMBH
K02913,Bamberg,2021-10-22,A-01,96052,F. WIELAND GMBH
K02919,Essen,2020-02-21,A-01,45139,SCHILDER WOLLHOFER GMBH
K02922,Radevormwald,2020-02-21,A-01,42477,BRAND GMBH
K02924,Nürnberg,2020-02-21,A-01,90471,GMC-INSTRUMENTS/METRAWATT
K02927,Lüdenscheid,2020-02-21,A-01,58515,SHC KALTVERFORMUNG
K02928,Düsseldorf,2020-02-21,A-01,40549,JÄGER GUMMI U. KUNSTSTOFF GMBH
K02933,Erkelenz,2020-02-21,A-01,41812,3 H KUNSTSTOFFE GMBH
K02934,Ennepetal,2020-02-21,A-01,58256,WEPA VERPACKUNGEN GMBH
K02935,Velbert,2020-02-21,A-01,42555,GEBR. SURRES KG
K02936,Brensbach,2020-02-21,A-01,64395,GEORG NIEDER OHG
K02937,Wuppertal,2021-10-22,A-01,42117,WILLI HAHN GMBH
K02938,Sonsbeck,2021-09-15,A-01,47665,HANS HOHL GMBH
K02943,Bielefeld,2021-10-22,A-01,33609,BSB-BENTLAGE GMBH & CO. KG
K02944,Norderstedt,2020-02-21,A-01,22851,DETAKTA GMBH & CO.
K02949,Amberg,2020-01-25,A-01,92224,KERB-KONUS-VERTRIEB
