purchase_no,amount_including_vat,amount,expected_receipt_date,location_code,order_date,quantity_invoiced,quantity_received,quantity,really_receipt_datetime,requested_receipt_date
HDE0H03449,108.91,91.52,2021-11-01,A-01,2020-10-12,320,320,320,2021-11-05,2021-11-01
HDE0H03449,435.63,366.08,2033-03-03,A-01,2021-10-12,1280,1280,1280,2021-11-05,2021-11-01
HDE0H03450,326.73,274.56,2021-11-01,A-01,2020-10-12,960,960,960,2021-11-05,2021-11-01
HDE0H03451,270.57,227.37,2021-11-01,A-01,2020-10-12,795,795,795,2021-11-05,2021-11-01
HDE0H03453,216.46,181.9,2021-11-01,A-01,2020-10-12,636,636,636,2021-11-05,2021-11-01
05920210,3197.36,2686.86,2021-03-24,A-01,2021-03-02,569250,569250,569250,2021-03-23,2021-03-24
HDE0H39001,1262.59,1061.0,2021-02-19,A-01,2020-09-12,10000,10000,10000,2021-02-16,2021-02-19
28000916,2174.13,1827.0,2021-01-22,A-01,2020-10-12,8700,8700,8700,2021-01-24,2021-01-22
D5300CFO01,4461.38,3749.06,2021-02-26,A-01,2020-10-12,3073,3073,3073,2021-02-28,2021-01-15
D5300CFO05,2254.34,1894.4,2021-02-26,A-01,2020-10-12,640,640,640,2021-02-28,2021-01-15
O3 4-1393565-3,3.31,3.15,2021-11-01,A-01,2020-10-12,210,210,210,2021-10-01,2021-11-01
29300357,20.47,19.5,2021-11-01,A-01,2020-10-12,1500,1500,1500,2021-10-01,2021-11-01
BI00419018,22015.0,18500.0,2021-03-26,B-01,2020-12-23,10000,10000,10000,2021-03-30,2021-03-26
03685850,8149.12,6848.0,2021-09-04,B-01,2021-02-26,2140,2140,2140,2021-11-04,2021-09-04
17200125,3213.0,2700.0,2021-01-13,A-01,2020-10-12,20000,20000,20000,2021-01-14,2021-01-13
KP0090M658,366.23,307.76,2021-10-02,A-01,2021-02-26,30,30,30,2021-02-02,2021-02-26
19600067,1675.82,1408.25,2021-01-02,A-01,2021-12-18,107500,107500,107500,2021-01-31,2021-01-02
00211827,876.05,736.18,2021-12-02,A-01,2020-12-14,5032,5032,5032,2021-07-02,2021-01-29
M0000009,516.57,445.32,2020-12-17,A-01,2020-12-15,2,2,2,2020-12-16,2020-12-17
O3 2-1393565-1,10.5,10.0,2021-01-02,A-01,2021-01-18,2000,2000,2000,2021-01-31,2021-01-02
90401313,52.5,50.0,2021-01-02,A-01,2021-11-01,2000,2000,2000,2021-01-31,2021-01-02
KP0064C004,148.75,125.0,2021-12-01,A-01,2020-12-16,4800,4800,4800,2021-11-01,2020-12-23
KP0064C005,113.05,95.0,2021-12-01,A-01,2020-12-16,4500,4500,4500,2021-11-01,2020-12-23
KP0064C007,113.05,95.0,2021-12-01,A-01,2020-12-16,6150,6150,6150,2021-11-01,2020-12-23
KS00750003,5045.6,4240.0,2021-03-26,B-01,2020-12-30,2000,2000,2000,2021-03-21,2021-03-26
M0000009,258.29,222.66,2020-12-22,A-01,2020-12-22,1,1,1,2020-09-12,2020-12-22
S1 0-1412705-2,1204.88,1012.5,2021-01-29,A-01,2020-12-16,45000,45000,45000,2021-01-26,2021-01-29
S1 0-1412705-7,985.32,828.0,2021-01-29,A-01,2020-12-16,30000,30000,30000,2021-01-26,2021-01-29
DR01060001,1906.31,1601.94,2021-01-29,A-01,2020-12-17,191,191,191,2021-01-28,2021-01-29
BI00099120,2312.35,2312.35,2021-07-04,B-01,2020-12-18,2016,2016,2016,2021-06-04,2021-03-19
DMR0000020,163.86,137.7,2021-01-15,A-01,2020-08-12,5,5,5,2021-01-13,2021-12-01
DMR0000021,269.51,226.48,2021-01-15,A-01,2020-08-12,10,10,10,2021-01-13,2021-12-01
17200135,5307.4,4460.0,2021-12-01,A-01,2020-12-17,20000,20000,20000,2021-11-01,2021-01-15
17200124,2375.24,1996.0,2021-01-27,A-01,2020-12-17,20000,20000,20000,2021-01-26,2021-01-22
17200122,935.91,786.48,2021-10-03,A-01,2020-12-17,20428,20428,20428,2021-09-03,2021-12-03
KS00355001,803.25,675.0,2021-02-26,B-01,2020-12-30,3600,3600,3600,2021-05-05,2021-02-26
KS00355001,1762.69,1481.25,2021-04-30,B-01,2021-05-03,7900,7900,7900,2021-05-05,2021-04-30
BI00290072,2572.07,2161.4,2021-07-30,B-01,2021-07-06,2015,2015,2015,2021-08-16,2021-06-23
BI00290079,1952.22,1640.52,2021-03-09,B-01,2021-09-07,2604,2604,2604,2021-01-09,2021-03-09
29200984-1,1747.41,1468.41,2021-02-26,A-01,2021-11-01,2024,2024,2024,2021-01-28,2021-02-26
11000035,204.87,172.16,2021-01-29,A-01,2021-11-01,2,2,2,2021-01-27,2021-01-29
05920105,4480.35,3765.0,2021-02-19,A-01,2021-11-01,125,125,125,2021-02-17,2021-02-19
18000013,838.95,705.0,2021-12-03,A-01,2021-11-01,5000,5000,5000,2021-03-15,2021-12-02
18000028,1570.8,1320.0,2021-01-03,A-01,2021-11-01,500,500,500,2021-02-28,2021-01-03
PVP0405439,921.06,774.0,2021-05-02,A-01,2021-12-01,20000,20000,20000,2021-09-02,2021-01-29
PVP0405439,921.06,774.0,2021-12-02,A-01,2021-12-01,20000,20000,20000,2021-09-02,2021-12-02
HES0093900,49748.4,49748.4,2021-07-30,A-01,2021-12-01,120000,120000,120000,2021-07-29,2021-07-16
01061657,1611.86,1354.5,2021-12-02,A-01,2021-12-01,31,31,31,2021-11-02,2021-12-02
HDE0H11032,14874.05,12499.2,2021-01-15,A-01,2021-01-15,3360,3360,3360,2021-12-16,2021-01-15
HDE0H11032,14874.05,12499.2,2021-01-28,A-01,2021-01-15,3360,3360,3360,2021-12-16,2021-01-21
HDE0H11032,14874.04,12499.2,2021-05-02,A-01,2021-01-15,3360,3360,3360,2021-12-16,2021-01-29
HDE0H11032,14874.05,12499.2,2021-12-02,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-12-02
HDE0H11032,14874.05,12499.2,2021-02-19,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-02-19
HDE0H11032,14874.05,12499.2,2021-02-26,A-01,2021-01-21,3360,3360,3360,2021-12-16,2021-02-26
HDE0H11032,14874.05,12499.2,2021-05-03,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-05-03
HDE0H11032,14874.04,12499.2,2021-12-03,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-12-03
HDE0H11032,14874.05,12499.2,2021-03-19,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-03-19
HDE0H11032,14874.05,12499.2,2021-03-26,A-01,2021-02-26,3360,3360,3360,2021-12-16,2021-03-26
HDE0H11032,14874.05,12499.2,2021-03-30,A-01,2021-02-26,3360,3360,3360,2021-12-16,2021-03-30
HDE0H11032,14874.05,12499.2,2021-08-04,A-01,2021-03-15,3360,3360,3360,2021-12-16,2021-08-04
HDE0H11032,14874.04,12499.2,2021-12-04,A-01,2021-02-26,3360,3360,3360,2021-12-16,2021-06-04
HDE0H11032,14874.05,12499.2,2021-04-19,A-01,2021-02-26,3360,3360,3360,2021-12-16,2021-04-13
HDE0H11032,14874.05,12499.2,2021-03-05,A-01,2021-03-15,3360,3360,3360,2021-12-16,2021-03-05
HDE0H11032,14874.05,12499.2,2021-10-05,A-01,2021-03-17,3360,3360,3360,2021-12-16,2021-10-05
HDE0H11032,14874.05,12499.2,2021-05-21,A-01,2021-04-14,3360,3360,3360,2021-12-16,2021-05-21
HDE0H11032,14874.04,12499.2,2021-05-28,A-01,2021-02-26,3360,3360,3360,2021-12-16,2021-05-28
HDE0H11032,14874.05,12499.2,2021-03-06,A-01,2021-04-28,3360,3360,3360,2021-12-16,2021-04-06
HDE0H11032,14874.05,12499.2,2021-06-18,A-01,2021-05-05,3360,3360,3360,2021-12-16,2021-06-18
HDE0H11032,14874.05,12499.2,2021-01-07,A-01,2021-03-02,3360,3360,3360,2021-12-16,2021-01-07
HDE0H11032,14874.05,12499.2,2021-09-07,A-01,2021-05-05,3360,3360,3360,2021-12-16,2021-09-07
HDE0H11032,14874.04,12499.2,2021-07-30,A-01,2021-04-28,3360,3360,3360,2021-12-16,2021-07-30
HDE0H11032,14874.05,12499.2,2021-06-08,A-01,2021-10-06,3360,3360,3360,2021-12-16,2021-06-08
HDE0H11032,14874.05,12499.2,2021-08-13,A-01,2021-10-06,3360,3360,3360,2021-12-16,2021-08-13
HDE0H11032,14874.05,12499.2,2021-08-27,A-01,2021-07-23,3360,3360,3360,2021-12-16,2021-08-27
HDE0H11032,14874.04,12499.2,2021-03-09,A-01,2021-07-23,3360,3360,3360,2021-12-16,2021-03-09
HDE0H11032,14874.05,12499.2,2021-10-09,A-01,2021-07-23,3360,3360,3360,2021-12-16,2021-10-09
HDE0H11032,14874.05,12499.2,2021-09-17,A-01,2021-07-23,3360,3360,3360,2021-12-16,2021-09-17
HDE0H11032,14874.05,12499.2,2021-01-10,A-01,2021-09-09,3360,3360,3360,2021-12-16,2021-01-10
HDE0H11032,14874.05,12499.2,2021-08-10,A-01,2021-09-09,3360,3360,3360,2021-12-16,2021-08-10
HDE0H11032,14874.04,12499.2,2021-10-15,A-01,2021-09-09,3360,3360,3360,2021-12-16,2021-10-15
HDE0H11032,6197.52,5208.0,2021-12-11,A-01,2021-06-10,1400,1400,1400,2021-12-16,2021-12-11
HDE0H11032,14874.05,12499.2,2021-11-30,A-01,2021-11-17,3360,3360,3360,2021-12-16,2021-11-30
HDE0H11032,14874.05,12499.2,2021-06-12,A-01,2021-11-17,3360,3360,3360,2021-12-16,2021-06-12
HDE0H11032,14874.05,12499.2,2021-09-12,A-01,2021-11-17,3360,3360,3360,2021-12-16,2021-09-12
HDE0H11032,14874.05,12499.2,2021-12-15,A-01,2021-11-11,3360,3360,3360,2021-12-16,2021-12-17
HDE0H11032,14874.04,12499.2,2021-12-17,A-01,2021-05-11,3360,3360,3360,2021-12-16,2021-12-17
M0000009,543.35,456.6,2021-01-14,A-01,2021-01-13,2,2,2,2021-01-13,2021-01-14
27901267,4184.93,3516.75,2021-06-15,A-01,2021-01-14,5210,5210,5210,2021-09-06,2021-03-26
KP0064B313,4105.0,4105.0,2021-03-15,A-01,2021-01-13,500,500,500,2021-03-29,2021-12-02
KP0064B313,2331.64,2331.64,2021-03-29,A-01,2021-01-13,284,284,284,2021-03-29,2021-12-02
17200137,4082.18,3430.4,2021-02-03,A-01,2021-01-14,19749,19749,19749,2021-02-28,2021-12-02
38001147,1606.5,1350.0,2021-12-02,A-01,2021-01-14,100000,100000,100000,2021-09-02,2021-12-02
ZEMZUSCHLA,724.96,609.21,2099-09-09,A-01,2021-12-02,0,0,1,2021-09-02,2021-12-02
22001649,279.89,235.2,2021-01-29,A-01,2021-01-14,24000,24000,24000,2021-01-28,2021-01-29
27901773,5355.0,4500.0,2021-07-05,A-01,2021-11-03,10000,10000,10000,2021-06-05,2021-07-05
RB00210306,3834.18,3222.0,2021-02-03,B-01,2020-11-25,20000,20000,20000,2021-04-15,2021-02-17
RB00491840,6784.07,5700.9,2021-03-31,B-01,2020-10-14,18390,18390,18390,2021-04-15,2021-02-17
RB00492407,516.46,434.0,2021-03-31,B-01,2021-01-20,5000,5000,5000,2021-04-15,2021-02-17
RB00497916,334.47,281.07,2021-03-23,B-01,2021-01-20,6940,6940,6940,2021-04-15,2021-02-17
19500001,1426.63,1426.63,2021-12-05,A-01,2021-01-15,1200,1200,1200,2021-11-05,2021-02-26
MV00491411,3755.64,3156.0,2021-12-05,B-01,2021-02-18,30000,30000,30000,2021-11-05,2021-01-04
MV00491533,5539.45,4655.0,2021-03-26,B-01,2021-12-02,18620,18620,18620,2021-03-29,2021-03-26
39403559,45.48,42.5,2021-01-02,A-01,2021-04-01,500,500,500,2021-03-02,2021-01-02
O3 1-1393583-5,20.33,19.0,2021-05-02,A-01,2021-01-14,200,200,200,2021-03-02,2021-05-02
MV00491619,13589.38,11419.65,2021-06-04,B-01,2021-01-27,8704,8704,8704,2021-03-31,2021-03-24
MV00491619,16986.73,14274.56,2021-04-13,B-01,2021-03-02,10880,10880,10880,2021-11-04,2021-03-31
MV00491619,13589.38,11419.65,2021-04-30,B-01,2021-02-17,8704,8704,8704,2021-05-05,2021-04-14
MV00491619,13589.38,11419.65,2021-05-26,B-01,2021-03-26,8704,8704,8704,2021-05-24,2021-05-21
KP0064B321,2225.3,1870.0,2021-01-29,A-01,2021-01-14,680,680,680,2021-07-02,2021-01-22
KP0064B323,2225.3,1870.0,2021-01-29,A-01,2021-01-14,680,680,680,2021-07-02,2021-01-22
01062079,923.7,776.22,2021-05-03,A-01,2021-01-15,28,28,28,2021-03-03,2021-05-03
01066805,460.03,386.58,2021-05-03,A-01,2021-01-15,88,88,88,2021-03-03,2021-05-03
M0000009,543.35,456.6,2021-01-19,A-01,2021-01-15,2,2,2,2021-01-18,2021-01-19
HDE0430752,267.75,225.0,2021-02-26,A-01,2021-01-15,5000,5000,5000,2021-02-24,2021-02-26
HDE0719189,470.29,395.2,2021-02-23,A-01,2021-01-15,5200,5200,5200,2021-02-22,2021-01-29
HDE0H04002,1073.11,901.77,2021-02-19,A-01,2021-01-15,17510,17510,17510,2021-03-15,2021-02-19
HDE0H04002,459.03,385.74,2021-02-26,A-01,2021-01-15,7490,7490,7490,2021-03-15,1753-01-01
HDE0H22013,10466.05,8795.0,2021-04-23,A-01,2021-01-18,10000,10000,10000,2021-04-22,2021-04-23
DA00120108,1780.24,1496.0,2021-03-05,B-01,2021-09-04,880,880,880,2021-04-29,2021-01-05
HDE0H27003,2575.16,2164.0,2021-02-19,A-01,2021-01-18,200000,200000,200000,2021-02-18,2021-02-19
RA00000750,416.26,349.8,2021-02-02,A-01,2021-08-01,30,30,30,2021-01-31,2021-01-22
HDE0H06006,628.56,528.2,2021-04-06,A-01,2021-01-22,10000,10000,10000,2021-02-06,2021-04-06
22000636,1649.34,1386.0,2021-04-06,B-01,2021-01-20,400,400,400,2021-06-16,2021-03-31
00343013,4850.0,4850.0,2021-04-16,A-01,2021-01-18,250000,250000,250000,2021-07-04,2021-04-16
11000020,2208.37,1855.77,2021-02-19,A-01,2021-01-18,5214,5214,5214,2021-02-21,2021-02-19
22000399,9595.6,9595.6,2021-12-10,B-01,2021-07-20,3220,3220,3220,2021-11-10,2021-09-20
DR00590004,6643.03,5582.38,2021-05-21,B-01,2021-01-29,1537,1537,1537,2021-05-24,2021-05-21
18200833,2439.6,2280.0,2021-02-03,A-01,2021-01-19,1000,1000,1000,2021-01-03,2021-02-03
00981990,173.64,145.92,2021-05-02,A-01,2021-01-22,10,10,10,2021-02-02,2021-05-02
KP000913C3,339.15,285.0,2021-03-02,A-01,2021-01-20,10,10,10,2021-02-24,2021-03-02
KP000913C3,169.58,142.5,2021-02-26,A-01,2021-01-20,5,5,5,2021-02-24,2021-03-02
KP0025M658,37.84,31.8,2022-02-02,A-01,2021-01-20,10000,10000,10000,2021-01-24,2021-01-29
KP0063B009,0.0,0.0,2021-04-27,A-01,2021-01-20,50,50,50,2021-12-07,2021-04-14
KP0063B009,14498.37,12183.5,2021-06-05,A-01,2021-01-20,295,295,295,2021-12-07,2021-04-14
KP0063B009,10075.13,8466.5,2021-07-13,A-01,2021-01-20,205,205,205,2021-12-07,2021-04-14
M0000009,271.68,228.3,2021-01-21,A-01,2021-01-20,1,1,1,2021-01-20,2021-01-21
RB00402314,9996.0,8400.0,2021-01-04,B-01,2020-12-30,300,300,300,2021-03-30,2021-01-04
RB00402314,9596.16,8064.0,2021-07-20,B-01,2021-03-02,288,288,288,2021-07-15,2021-05-05
PVP0405439,921.06,774.0,2021-02-19,A-01,2021-01-22,20000,20000,20000,2021-02-24,2021-02-19
PVP0405439,921.06,774.0,2021-02-18,A-01,2021-01-22,20000,20000,20000,2021-02-24,2021-02-18
PVP0405439,921.06,774.0,2021-05-03,A-01,2021-01-22,20000,20000,20000,2021-02-24,2021-05-03
KP0064B003,911.54,766.0,2021-02-16,A-01,2021-05-02,680,680,680,2021-02-16,2021-02-16
KP0064B004,911.54,766.0,2021-02-16,A-01,2021-05-02,680,680,680,2021-02-16,2021-02-16
17200132,3095.62,2601.36,2021-12-02,A-01,2021-01-21,14452,14452,14452,2021-02-14,2021-12-02
KS00525008,1011.02,849.6,2021-04-06,B-01,2021-01-22,1600,1600,1600,2021-05-30,2021-04-16
24000022,3000.0,3000.0,2021-06-05,B-01,2021-01-22,5000,5000,5000,2021-04-05,2021-03-19
24000005,5306.35,4459.12,2021-09-04,B-01,2021-02-26,3115,3115,3115,2021-04-13,2021-09-04
24000001,4037.05,3392.48,2021-05-05,B-01,2021-01-13,1040,1040,1040,2021-06-05,2021-05-05
24000007,10717.62,9006.4,2021-05-05,B-01,2021-01-13,1040,1040,1040,2021-06-05,2021-05-05
HDE0210815,2275.28,1912.0,2021-03-15,A-01,2021-05-03,20000,20000,20000,2021-03-15,2021-03-15
HDE0610275,1428.0,1200.0,2021-02-19,A-01,2021-01-25,20000,20000,20000,2021-02-17,2021-02-19
HDE0610542,559.2,469.92,2021-09-03,A-01,2021-01-25,6,6,6,2021-08-03,2021-05-03
HDE0700479,470.29,395.2,2021-02-19,A-01,2021-01-25,5200,5200,5200,2021-02-22,2021-05-02
HDE0H03444,273.97,230.23,2021-03-15,A-01,2021-01-25,805,805,805,2021-11-05,2021-02-19
HDE0H03445,273.98,230.23,2021-03-15,A-01,2021-01-25,805,805,805,2021-11-05,2021-02-19
HDE0H03446,328.77,276.28,2021-03-15,A-01,2021-01-25,966,966,966,2021-11-05,2021-02-19
HDE0H03447,544.54,457.6,2021-03-15,A-01,2021-01-25,1600,1600,1600,2021-11-05,2021-02-19
HDE0H03448,435.64,366.08,2021-03-15,A-01,2021-01-25,1280,1280,1280,2021-11-05,2021-02-19
HDE0H03448,381.18,320.32,2021-09-03,A-01,2020-12-29,1120,1120,1120,2021-11-05,1753-01-01
HDE0H03449,108.91,91.52,2021-03-15,A-01,2021-01-25,320,320,320,2021-11-05,2021-02-19
HDE0H03449,544.54,457.6,2021-09-03,A-01,2020-12-29,1600,1600,1600,2021-11-05,1753-01-01
HDE0H03450,435.64,366.08,2021-02-19,A-01,2021-01-25,1280,1280,1280,2021-11-05,2021-02-19
HDE0H03451,54.11,45.47,2021-03-15,A-01,2021-01-25,159,159,159,2021-11-05,2021-02-19
HDE0H03451,216.46,181.9,2021-06-04,A-01,2021-01-25,636,636,636,2021-11-05,1753-01-01
HDE0H03452,270.57,227.37,2021-02-19,A-01,2021-01-25,795,795,795,2021-11-05,2021-02-19
HDE0H05003,3370.08,2832.0,2021-09-04,A-01,2021-01-25,20000,20000,20000,2021-04-13,2021-09-04
HDE0H06007,928.08,779.9,2021-04-30,A-01,2021-01-25,10000,10000,10000,2021-04-29,2021-04-30
22000878,1969.45,1655.0,2033-03-03,B-01,2021-01-25,2500,2500,2500,2021-06-05,2021-06-04
HDE0H22013,10298.59,8654.28,2021-05-28,A-01,2021-05-28,9840,9840,9840,2021-05-27,2021-05-28
22000648,1063.56,893.75,2021-03-25,B-01,2021-01-25,1128,1128,1128,2021-04-20,2021-03-05
22000657,2777.11,2333.7,2021-09-04,B-01,2021-01-25,1084,1084,1084,2021-04-20,2021-03-05
HDE0H39001,1262.59,1061.0,2021-10-03,A-01,2021-01-25,10000,10000,10000,2021-03-24,2021-12-03
HDE0H39001,1262.59,1061.0,2021-03-26,A-01,2021-01-25,10000,10000,10000,2021-03-24,2021-03-26
22000662,1117.52,939.09,2021-09-04,B-01,2021-01-26,502,502,502,2021-08-04,2021-06-04
BI00390004,2085.0,2085.0,2021-03-26,B-01,2021-01-29,5000,5000,5000,2021-03-25,2021-03-26
BI00611008,422.45,355.0,2021-03-25,B-01,2021-04-02,5000,5000,5000,2021-03-23,2021-03-25
M080000072,0.0,0.0,2021-04-06,A-01,2021-01-25,40,40,40,2021-08-06,2021-01-29
M080000150,432.0,432.0,2021-12-02,A-01,2021-01-25,600,600,600,2021-09-02,2021-12-02
M080000160,11.9,10.0,2022-02-02,A-01,2021-01-25,50,50,50,2021-01-26,2021-01-27
00986010,324.28,272.5,2099-09-09,A-01,2021-01-26,25,25,25,2021-01-02,2021-12-02
BI00419018,6164.2,5180.0,2021-05-05,B-01,2021-01-29,2800,2800,2800,2021-05-16,2021-04-30
BI00419018,15850.8,13320.0,2021-11-05,B-01,2021-01-29,7200,7200,7200,2021-05-16,2021-04-30
BI00703024,1942.64,1632.47,2021-04-28,B-01,2021-01-22,4860,4860,4860,2021-04-27,2021-06-18
17200130,5351.26,4496.86,2021-02-03,A-01,2021-01-26,24573,24573,24573,2021-01-03,2021-05-03
17200135,5307.4,4460.0,2021-12-03,A-01,2021-01-26,20000,20000,20000,2021-11-03,2021-05-03
17200119,3600.94,3026.0,2021-03-15,A-01,2021-01-26,20000,20000,20000,2021-03-14,2021-03-15
17000115,4688.6,3940.0,2021-03-23,B-01,2021-01-26,2000,2000,2000,2021-04-15,2021-05-03
17000115,4688.6,3940.0,2021-04-30,B-01,2021-01-26,2000,2000,2000,2021-04-15,2021-04-15
17000124,2369.1,1990.84,2021-08-25,B-01,2021-01-26,120950,120950,120950,2021-08-26,2021-06-30
17000127,1463.7,1230.0,2021-04-30,B-01,2021-01-26,100000,100000,100000,2021-04-29,2021-04-30
M0000009,543.35,456.6,2021-01-28,A-01,2021-01-27,2,2,2,2021-01-27,2021-01-28
KS00100703,3758.62,3158.5,2021-04-14,B-01,2021-03-02,5000,5000,5000,2021-12-04,2021-04-14
KS00355702,3919.4,3293.61,2021-05-28,B-01,2021-05-02,1010,1010,1010,2021-05-27,2021-05-28
KS00503704,2351.92,2351.92,2021-04-16,B-01,2021-01-22,2562,2562,2562,2021-04-18,2021-04-16
KS00617711,1341.46,1127.28,2021-09-04,B-01,2021-01-29,1050,1050,1050,2021-07-04,2021-09-04
O3 1498030-1,384.5,384.5,2021-02-25,A-01,2021-01-27,1000,1000,1000,2021-02-24,2021-02-19
17200125,3213.0,2700.0,2021-02-24,A-01,2021-01-28,20000,20000,20000,2021-02-23,2021-02-26
17000140,2169.76,1823.33,2021-09-04,B-01,2021-01-28,468,468,468,2021-05-30,2021-02-04
17000140,2169.77,1823.33,2021-04-16,B-01,2021-01-28,468,468,468,2021-05-30,2021-04-16
17000140,2169.76,1823.33,2021-04-23,B-01,2021-01-28,468,468,468,2021-05-30,2021-04-23
17000140,2169.76,1823.33,2021-04-30,B-01,2021-01-28,468,468,468,2021-05-30,2021-04-30
17000140,2169.76,1823.33,2021-07-05,B-01,2021-01-28,468,468,468,2021-05-30,2021-07-05
17000140,2169.77,1823.33,2021-05-17,B-01,2021-01-28,468,468,468,2021-05-30,2021-05-14
17000140,2169.76,1823.33,2021-05-21,B-01,2021-01-28,468,468,468,2021-05-30,2021-05-21
17000140,2169.76,1823.33,2021-05-28,B-01,2021-01-28,468,468,468,2021-05-30,2021-05-28
22001421,2820.06,2369.8,2021-02-17,A-01,2021-01-27,2890,2890,2890,2021-02-15,2021-02-17
39403559,45.48,42.5,2021-02-25,A-01,2021-01-28,500,500,500,2021-02-24,2021-02-25
O3 1-1393565-8,10.7,10.0,2021-12-02,A-01,2021-01-29,2000,2000,2000,2021-02-24,2021-12-02
O3 1393583-4,23.54,22.0,2021-12-02,A-01,2021-01-29,200,200,200,2021-02-24,2021-12-02
O3 4-1393565-4,3.37,3.15,2021-12-02,A-01,2021-01-29,210,210,210,2021-02-24,2021-12-02
O3 4-1393565-4,3.37,3.15,2021-12-02,A-01,2021-01-29,210,210,210,2021-02-24,2021-12-02
17000168,1038.63,872.8,2021-03-31,B-01,2021-01-29,2438,2438,2438,2021-04-21,2021-03-15
17000168,1073.45,902.06,2021-04-16,B-01,2021-01-29,2410,2410,2410,2021-04-21,2021-04-16
17000169,1026.71,862.78,2021-03-31,B-01,2021-01-29,2410,2410,2410,2021-04-21,2021-03-15
17000169,1071.22,900.19,2021-04-16,B-01,2021-03-19,2405,2405,2405,2021-04-21,2021-04-16
17000170,1077.02,905.06,2021-03-31,B-01,2021-01-29,2418,2418,2418,2021-04-21,2021-03-15
17000170,1115.85,937.69,2021-04-16,B-01,2021-01-29,2428,2428,2428,2021-04-21,2021-04-16
01077134,232.05,195.0,2021-05-03,A-01,2021-01-29,110,110,110,2021-03-03,2021-05-03
17000134,556.78,467.88,2021-05-03,B-01,2021-01-29,22280,22280,22280,2021-03-28,2021-02-26
17000135,316.04,265.58,2021-02-26,B-01,2021-01-29,21680,21680,21680,2021-03-28,2021-02-26
17000137,1328.72,1116.57,2021-01-04,B-01,2021-01-29,5460,5460,5460,2021-03-28,2021-03-26
28035258,2606.1,2190.0,2021-09-04,A-01,2021-01-29,120000,120000,120000,2021-07-04,2021-09-04
17000139,616.27,517.87,2021-12-03,B-01,2021-01-29,25637,25637,25637,2021-03-28,2021-12-03
17000141,2487.99,2090.75,2021-04-23,B-01,2021-01-29,5000,5000,5000,2021-04-28,2021-04-23
17000147,470.05,395.0,2021-03-31,B-01,2021-01-29,10000,10000,10000,2021-03-28,2021-03-31
ABB0038943-2,113.05,95.0,2021-10-02,A-01,2021-03-02,3500,3500,3500,2021-09-02,2021-10-02
M0000009,271.68,228.3,2021-02-02,A-01,2021-01-02,1,1,1,2021-01-02,2021-02-02
MV00400170,8513.65,7154.33,2021-09-07,B-01,2021-12-05,556,556,556,2021-05-07,2021-09-07
MV00400170,6579.7,5529.16,2021-01-10,B-01,2021-06-08,429,429,429,2021-05-07,2021-01-10
MV00491617,700.1,588.32,2021-04-14,B-01,2021-03-03,25200,25200,25200,2021-04-13,2021-04-14
00211959,2915.5,2450.0,2021-04-06,B-01,2021-04-21,100000,100000,100000,2021-03-06,2021-02-06
M20020107,8612.63,7237.5,2021-03-06,B-01,2021-01-28,250,250,250,2021-03-06,2021-03-06
M0000009,543.35,456.6,2021-04-02,A-01,2021-03-02,2,2,2,2021-03-02,2021-04-02
PVP0405439,921.06,774.0,2021-01-03,A-01,2021-05-02,20000,20000,20000,2021-03-30,2021-01-03
PVP0405439,921.06,774.0,2021-01-03,A-01,2021-05-02,20000,20000,20000,2021-03-30,2021-01-03
PVP0405439,921.06,774.0,2021-03-03,A-01,2021-05-02,20000,20000,20000,2021-03-30,2021-03-26
PVP0405439,921.06,774.0,2021-03-19,A-01,2021-05-02,20000,20000,20000,2021-03-30,2021-03-19
PVP0405439,921.06,774.0,2021-03-26,A-01,2021-05-02,20000,20000,20000,2021-03-30,2021-03-26
PVP0405439,1234.22,1037.16,2021-01-04,A-01,2021-05-02,26800,26800,26800,2021-03-30,2021-01-04
29301039,955.57,803.0,2021-09-04,A-01,2021-02-19,10000,10000,10000,2021-03-31,2021-05-03
29301050,487.22,409.43,2021-04-30,A-01,2021-04-21,5150,5150,5150,2021-04-29,2021-04-30
17000149,1416.1,1190.0,2021-03-15,B-01,2021-04-02,5950,5950,5950,2021-08-23,2021-03-15
17000149,1190.0,1000.0,2021-03-09,B-01,2021-04-02,5000,5000,5000,2021-08-23,2021-05-21
18200831,4558.2,4260.0,2021-05-03,A-01,2021-04-02,2000,2000,2000,2021-03-03,2021-05-03
ABB0000007,564.36,474.25,2021-03-19,A-01,2021-05-03,5000,5000,5000,2021-03-03,2021-03-19
ABB0062602,205.37,172.58,2021-01-04,A-01,2021-04-02,250,250,250,2021-03-29,2021-01-04
ABB0337436,1128.12,948.0,2021-06-08,A-01,2021-04-28,30000,30000,30000,2021-07-27,2021-06-08
ABB0343364,349.98,294.1,2021-03-26,A-01,2021-04-02,2000,2000,2000,2021-03-24,2021-03-26
ABB0869526,42.36,35.6,2021-05-02,A-01,2021-04-02,200,200,200,2021-04-02,2021-05-02
01065045,731.85,615.0,2021-03-19,A-01,2021-02-19,107,107,107,2021-03-18,2021-03-19
27603772,1064.42,894.47,2021-01-04,A-01,2021-05-02,23000,23000,23000,2021-03-29,2021-03-19
